,GOOGL (NASD),,,,
Date,Open,High,Low,Close,Volume
8/4/2023,129.28,131.51,127.91,128.11,"26,147,158"
8/3/2023,127.97,129.39,127.42,128.45,"20,159,528"
8/2/2023,129.45,130.09,127.56,128.38,"26,273,258"
8/1/2023,130.78,132.63,130.68,131.55,"23,276,440"
7/31/2023,132.73,133.53,131.78,132.72,"28,055,531"
7/28/2023,130.78,133.74,130.57,132.58,"36,591,158"
7/27/2023,131.67,133.24,128.79,129.4,"44,952,074"
7/26/2023,130.07,130.98,128.32,129.27,"61,682,093"
7/25/2023,121.36,123.15,121.02,122.21,"52,509,551"
7/24/2023,121.66,123,120.98,121.53,"29,723,667"
7/21/2023,120.62,120.99,118.73,120.02,"71,606,474"
7/20/2023,121.42,124.09,118.22,119.2,"37,906,763"
7/19/2023,124.6,125.18,121.8,122.03,"37,224,033"
7/18/2023,124.6,124.68,122.96,123.76,"26,226,447"
7/17/2023,125.94,127.1,124.2,124.65,"25,716,215"
7/14/2023,124.8,126.78,123.49,125.42,"33,283,076"
7/13/2023,120.93,124.83,120.45,124.54,"44,297,915"
7/12/2023,118.8,120.33,118.41,118.93,"30,404,409"
7/11/2023,116.29,117.71,115.35,117.14,"23,078,782"
7/10/2023,118.3,118.31,116.14,116.45,"35,315,235"
7/7/2023,120.1,121.05,119.4,119.48,"21,709,549"
7/6/2023,119.8,120.3,118.4,120.11,"24,778,801"
7/5/2023,119.24,122.61,119.23,121.75,"27,584,809"
7/3/2023,119.24,120.19,118.82,119.9,"14,467,850"
6/30/2023,120.17,121.08,119.69,119.7,"29,532,241"
6/29/2023,119.24,120.06,118.3,119.1,"24,090,902"
6/28/2023,117.09,120.39,116.85,120.18,"27,091,449"
6/27/2023,117.08,119.08,116.1,118.33,"39,535,936"
6/26/2023,120.76,122,118.27,118.34,"33,969,897"
6/23/2023,121.38,122.79,121.06,122.34,"34,913,637"
6/22/2023,120,123.24,118.83,123.15,"26,952,246"
6/21/2023,122.4,122.66,120.1,120.55,"30,306,336"
6/20/2023,122.93,124.57,122.14,123.1,"26,097,492"
6/16/2023,125.93,126.11,123.28,123.53,"45,535,553"
6/15/2023,123.14,125.46,122.4,125.09,"35,246,268"
6/14/2023,123.1,124.05,121.45,123.67,"30,592,297"
6/13/2023,124.98,125.16,123.18,123.83,"22,278,313"
6/12/2023,122.79,124.05,121.66,123.64,"28,338,743"
6/9/2023,122.25,123.76,121.91,122.23,"23,778,319"
6/8/2023,122.23,123.23,121.24,122.14,"29,389,167"
6/7/2023,126.97,129.04,122.12,122.5,"52,538,986"
6/6/2023,126.01,128.29,125.36,127.31,"26,638,295"
6/5/2023,124.01,127.43,123.84,126.01,"32,305,531"
6/2/2023,123.99,126.15,123.76,124.67,"26,980,147"
6/1/2023,122.82,124.42,122.62,123.72,"30,772,683"
5/31/2023,122.75,124.06,122.5,122.87,"37,325,787"
5/30/2023,125.64,125.66,122,123.67,"35,076,658"
5/26/2023,123.17,125.26,122.45,124.61,"35,635,937"
5/25/2023,124.52,125.32,121.96,123.48,"42,316,986"
5/24/2023,121.12,121.91,119.86,120.9,"34,182,635"
5/23/2023,124.16,124.63,122.21,122.56,"34,046,251"
5/22/2023,122.94,126.43,122.74,125.05,"35,253,034"
5/19/2023,123.55,125.97,122.15,122.76,"41,353,445"
5/18/2023,120.95,123.31,120.83,122.83,"35,234,233"
5/17/2023,119.61,121.67,118.89,120.84,"33,323,588"
5/16/2023,116.49,120.75,116.43,119.51,"45,035,558"
5/15/2023,116.11,118.48,116.01,116.51,"36,266,765"
5/12/2023,116.68,118.03,116.11,117.51,"41,102,330"
5/11/2023,115.4,117.92,114.41,116.57,"78,900,029"
5/10/2023,107.97,112.94,107.93,111.75,"63,153,367"
5/9/2023,108.39,110.15,107.19,107.35,"36,360,141"
5/8/2023,105.18,107.96,105.16,107.77,"26,511,445"
5/5/2023,104.82,105.88,104.11,105.57,"26,639,254"
5/4/2023,105.49,105.6,103.97,104.69,"23,419,506"
5/3/2023,105.53,107.49,104.96,105.41,"21,795,405"
5/2/2023,107.14,107.2,103.71,105.32,"30,997,245"
5/1/2023,106.84,107.99,106.82,107.2,"26,681,680"
4/28/2023,107.04,107.35,105.09,107.34,"36,139,847"
4/27/2023,104.45,108.37,103.54,107.59,"50,089,187"
4/26/2023,104.92,106.35,102.63,103.71,"53,347,560"
4/25/2023,105.83,106.69,103.84,103.85,"46,664,104"
4/24/2023,105.49,106.63,104.7,105.97,"23,542,829"
4/21/2023,105.47,106,104.78,105.41,"25,800,082"
4/20/2023,103.91,106.25,103.87,105.29,"27,820,794"
4/19/2023,103.58,104.98,103.07,104.18,"20,905,684"
4/18/2023,106.49,106.54,104.07,104.5,"26,596,445"
4/17/2023,104.66,106.16,104.52,105.97,"37,571,218"
4/14/2023,106.89,108.94,106.84,108.87,"26,578,002"
4/13/2023,105.84,107.49,105.84,107.43,"24,843,579"
4/12/2023,106.58,106.75,104.34,104.64,"24,370,274"
4/11/2023,106.55,106.73,104.68,105.35,"26,311,803"
4/10/2023,106.98,107.59,105.12,106.44,"27,067,355"
4/6/2023,105.26,109.17,104.33,108.42,"48,711,480"
4/5/2023,105.78,106.1,103.66,104.47,"28,290,503"
4/4/2023,104.33,105.58,104.04,104.72,"24,420,079"
4/3/2023,102.39,104.53,101.93,104.36,"25,035,399"
3/31/2023,101.3,103.89,101.04,103.73,"36,863,369"
3/30/2023,100.91,101.16,99.78,100.89,"33,086,183"
3/29/2023,102.28,102.49,100.65,101.39,"28,779,572"
3/28/2023,102.44,102.45,99.74,101.03,"32,057,865"
3/27/2023,104.62,104.76,101.93,102.46,"31,120,864"
3/24/2023,104.99,105.49,103.84,105.44,"30,411,043"
3/23/2023,105.06,106.3,104.46,105.6,"40,797,769"
3/22/2023,104.27,106.59,103.33,103.37,"43,427,419"
3/21/2023,101.25,105.1,101.22,104.92,"42,110,279"
3/20/2023,100.12,101.75,99.87,101.22,"32,960,440"
3/17/2023,100.26,102.84,100.1,101.62,"61,028,547"
3/16/2023,96.2,101.19,95.5,100.32,"65,567,656"
3/15/2023,93.22,96.93,92.64,96.11,"50,622,050"
3/14/2023,92.56,94.36,92.44,93.97,"36,050,214"
3/13/2023,90.09,92.57,89.42,91.11,"37,335,573"
3/10/2023,92.17,92.79,90.4,90.63,"35,941,046"
3/9/2023,94.05,95.53,91.9,92.32,"28,813,532"
3/8/2023,94.12,95.96,94,94.25,"34,103,265"
3/7/2023,94.98,95.67,93.53,93.86,"27,835,476"
3/6/2023,94.02,95.97,94,95.13,"32,639,313"
3/3/2023,92.48,93.73,92.45,93.65,"35,160,105"
3/2/2023,89.66,92.28,89.59,92,"32,226,229"
3/1/2023,89.98,91.03,89.67,90.36,"31,111,225"
2/28/2023,89.33,91.23,89.32,90.06,"30,142,039"
2/27/2023,89.87,90.16,89.34,89.87,"27,502,302"
2/24/2023,89.44,89.89,88.58,89.13,"36,585,093"
2/23/2023,91.92,91.94,89.76,90.89,"41,206,380"
2/22/2023,91.7,92.11,90.61,91.65,"30,884,017"
2/21/2023,93,93.1,91.72,91.79,"33,629,256"
2/17/2023,94.85,95.56,93.21,94.35,"34,284,118"
2/16/2023,95.37,97.68,94.74,95.51,"42,462,618"
2/15/2023,94.49,97.12,94.15,96.94,"50,298,481"
2/14/2023,94.43,94.85,92.26,94.68,"54,726,120"
2/13/2023,94.74,95.2,93.84,94.61,"50,076,120"
2/10/2023,95.45,96.75,94.25,94.57,"54,980,696"
2/9/2023,100,100.03,93.63,95.01,"119,455,020"
2/8/2023,102.05,103.14,98.04,99.37,"94,743,515"
2/7/2023,103.22,108.18,103.12,107.64,"49,010,230"
2/6/2023,102.4,104.36,101.88,102.9,"31,999,562"
2/3/2023,102.93,107.81,102.58,104.78,"65,309,261"
2/2/2023,105.8,107.85,105.61,107.74,"69,883,762"
2/1/2023,98.71,101.19,97.58,100.43,"35,531,104"
1/31/2023,96.87,98.88,96.82,98.84,"29,870,669"
1/30/2023,97.48,98.29,96.4,96.94,"27,226,198"
1/27/2023,97.31,100.32,97.31,99.37,"33,879,753"
1/26/2023,96.5,97.57,95.38,97.52,"30,113,974"
1/25/2023,95.57,96.16,93.76,95.22,"42,329,952"
1/24/2023,98.1,99.61,97.2,97.7,"33,078,512"
1/23/2023,97.95,100.04,97.5,99.79,"40,005,055"
1/20/2023,95.1,98.3,95.02,98.02,"63,191,078"
1/19/2023,90.72,93.61,90.63,93.05,"37,000,395"
1/18/2023,92.14,92.8,90.64,91.12,"29,116,691"
1/17/2023,92.06,92.25,90.05,91.29,"32,602,423"
1/13/2023,90.85,92.19,90.13,92.12,"26,329,212"
1/12/2023,91.48,91.87,89.75,91.13,"30,258,135"
1/11/2023,89.18,91.6,89.01,91.52,"26,861,969"
1/10/2023,85.98,88.67,85.83,88.42,"30,467,755"
1/9/2023,88.36,90.05,87.86,88.02,"29,003,901"
1/6/2023,86.79,87.69,84.86,87.34,"41,381,495"
1/5/2023,87.47,87.57,85.9,86.2,"27,194,375"
1/4/2023,90.35,90.65,87.27,88.08,"34,854,776"
1/3/2023,89.59,91.05,88.52,89.12,"28,131,224"
12/30/2022,86.98,88.3,86.57,88.23,"23,986,297"
12/29/2022,86.62,88.85,86.61,88.45,"23,333,537"
12/28/2022,86.98,88.04,85.94,86.02,"19,523,176"
12/27/2022,88.8,88.94,87.01,87.39,"20,097,346"
12/23/2022,87.11,89.55,87.07,89.23,"23,003,035"
12/22/2022,88.16,88.54,86.32,87.76,"27,658,293"
12/21/2022,89.08,90.22,88.32,89.58,"24,745,637"
12/20/2022,88.11,89.18,87.44,89.02,"23,453,836"
12/19/2022,90.26,90.56,88.21,88.44,"29,493,030"
12/16/2022,90.76,91.33,89.52,90.26,"58,011,847"
12/15/2022,93.13,93.64,90.01,90.86,"40,107,033"
12/14/2022,95.2,96.87,93.6,95.07,"28,733,599"
12/13/2022,97.76,99.53,95.03,95.63,"40,593,656"
12/12/2022,92.71,93.56,91.61,93.31,"29,009,013"
12/9/2022,93.77,94.26,92.75,92.83,"28,225,448"
12/8/2022,95.38,95.58,93.45,93.71,"32,213,288"
12/7/2022,96.41,96.88,94.72,94.94,"31,045,449"
12/6/2022,99.3,99.78,96.42,96.98,"24,910,655"
12/5/2022,99.4,101.38,99,99.48,"24,405,087"
12/2/2022,99.05,100.77,98.9,100.44,"21,480,703"
12/1/2022,101.02,102.25,100.25,100.99,"28,687,096"
11/30/2022,94.82,101.04,94.42,100.99,"43,647,481"
11/29/2022,95.73,96.12,94.11,95.19,"20,061,720"
11/28/2022,97.04,97.58,95.61,96.05,"26,252,433"
11/25/2022,98.24,98.64,97.4,97.46,"9,701,441"
11/23/2022,97.09,98.76,97.09,98.46,"18,868,092"
11/22/2022,95.95,97.22,94.05,97.05,"23,438,480"
11/21/2022,97.29,98.4,95.36,95.6,"21,647,387"
11/18/2022,98.77,98.9,96.37,97.43,"28,342,297"
11/17/2022,96.97,99.28,96.79,98.36,"26,052,599"
11/16/2022,97.9,99.64,97.64,98.85,"29,105,154"
11/15/2022,98.26,100.14,96.71,98.44,"41,640,816"
11/14/2022,95.09,96.79,94.51,95.7,"30,179,539"
11/11/2022,94.69,96.93,93.92,96.41,"33,090,482"
11/10/2022,92.25,94.39,91.61,93.94,"51,620,136"
11/9/2022,88.45,89.44,87.28,87.32,"31,769,099"
11/8/2022,88.9,90.32,87.59,88.9,"30,429,025"
11/7/2022,87.28,88.9,86.85,88.49,"34,078,912"
11/4/2022,85.4,86.64,83.71,86.58,"51,124,904"
11/3/2022,86.32,86.52,83.34,83.43,"61,288,019"
11/2/2022,90.94,91.18,86.88,86.97,"57,038,282"
11/1/2022,95.45,96.03,90.37,90.47,"47,161,351"
10/31/2022,95.42,96.03,93.98,94.51,"31,675,036"
10/28/2022,92.27,96.55,92.13,96.29,"43,697,286"
10/27/2022,94.52,95.43,91.8,92.22,"60,710,859"
10/26/2022,96.43,98.31,94.69,94.93,"88,279,042"
10/25/2022,102.9,104.82,102.72,104.48,"40,611,375"
10/24/2022,101.8,102.75,99.98,102.52,"27,176,417"
10/21/2022,97.85,101.31,97.72,101.13,"32,458,722"
10/20/2022,100,102.32,99.39,99.97,"25,323,202"
10/19/2022,100.01,101.02,98.92,99.63,"23,811,064"
10/18/2022,103.13,103.47,99.97,100.77,"24,060,671"
10/17/2022,98.86,100.93,98.83,99.97,"28,419,192"
10/14/2022,99.99,100.69,96.37,96.56,"25,410,674"
10/13/2022,95.15,99.78,94.38,99.06,"34,574,549"
10/12/2022,97.3,98.75,96.74,97.56,"21,876,362"
10/11/2022,97.43,99.25,96.31,97.18,"26,507,103"
10/10/2022,99,99.1,97.01,97.86,"18,225,094"
10/7/2022,99.85,100.53,98.3,98.68,"27,502,765"
10/6/2022,100.68,102.93,100.59,101.42,"22,323,989"
10/5/2022,99.83,101.93,98.8,101.43,"22,176,903"
10/4/2022,100.44,101.84,100.38,101.64,"28,850,773"
10/3/2022,96.76,99.29,96.52,98.64,"27,982,031"
9/30/2022,97.05,98.9,95.56,95.65,"32,941,493"
9/29/2022,98.64,98.64,95.96,97.42,"31,047,224"
9/28/2022,97.65,100.7,97.11,100.05,"32,466,323"
9/27/2022,99.43,100,96.87,97.5,"30,072,781"
9/26/2022,98.1,99.88,97.8,98.17,"27,072,662"
9/23/2022,99.63,99.66,97.47,98.74,"31,625,437"
9/22/2022,98.82,101.24,98.79,100.14,"34,298,619"
9/21/2022,101.67,102.88,99.27,99.28,"31,487,265"
9/20/2022,102.08,102.37,100.52,101.14,"26,517,123"
9/19/2022,101.75,103.33,101.55,103.07,"23,036,811"
9/16/2022,102.07,103.13,100.94,102.8,"42,797,172"
9/15/2022,104.03,105.27,102.35,102.91,"34,188,284"
9/14/2022,104.57,105.28,103.66,105,"26,395,134"
9/13/2022,107.8,108.3,104.09,104.32,"38,172,871"
9/12/2022,110.99,111.62,109.93,110.86,"22,966,752"
9/9/2022,109.07,110.99,109.02,110.65,"23,213,585"
9/8/2022,108.04,109.6,107.16,108.38,"24,238,293"
9/7/2022,107.06,109.98,106.9,109.45,"23,166,967"
9/6/2022,107.3,108.03,105.78,106.81,"25,068,280"
9/2/2022,110.59,110.74,107.26,107.85,"24,160,711"
9/1/2022,108.28,110.45,107.36,109.74,"28,360,926"
8/31/2022,110.65,110.85,108.13,108.22,"28,626,972"
8/30/2022,110.17,110.5,107.8,108.94,"27,513,255"
8/29/2022,109.99,110.95,108.8,109.42,"21,191,157"
8/26/2022,114.72,115.12,110.19,110.34,"37,245,697"
8/25/2022,114.24,116.72,114.11,116.65,"16,956,794"
8/24/2022,113.5,114.78,112.87,113.69,"17,734,624"
8/23/2022,113.48,115.01,113.43,113.86,"15,870,373"
8/22/2022,115.2,115.63,113.85,114.24,"21,456,648"
8/19/2022,119.06,119.15,116.76,117.21,"21,809,528"
8/18/2022,119.43,120.82,118.72,120.17,"17,987,660"
8/17/2022,120.12,121.29,119.38,119.55,"22,846,958"
8/16/2022,121.52,122.43,120.64,121.7,"19,041,230"
8/15/2022,121.13,122.3,120.61,122.08,"19,494,825"
8/12/2022,120.26,121.68,119.46,121.68,"19,096,268"
8/11/2022,121.28,121.49,118.56,118.84,"24,293,654"
8/10/2022,118.78,120.92,118.41,119.7,"30,930,350"
8/9/2022,117.14,117.32,115.71,116.63,"19,086,465"
8/8/2022,118.39,120.15,116.88,117.3,"19,169,479"
8/5/2022,116.23,118.11,116,117.47,"19,159,520"
8/4/2022,117.48,118.78,116.89,118.19,"21,602,925"
8/3/2022,115.71,118.62,115.48,118.08,"28,499,014"
8/2/2022,114,116.35,113.72,115.13,"20,236,029"
8/1/2022,115.3,116.72,114.34,114.86,"26,034,288"
7/29/2022,113.08,116.71,113.06,116.32,"37,223,391"
7/28/2022,112.37,114.34,111.46,114.22,"32,816,568"
7/27/2022,109.26,113.91,108.01,113.06,"59,858,495"
7/26/2022,106.6,107.2,104.07,105.02,"47,990,963"
7/25/2022,108.41,109.87,106.3,107.51,"34,690,894"
7/22/2022,111,112.34,106.5,107.9,"48,901,184"
7/21/2022,114.28,114.55,111.11,114.34,"32,676,166"
7/20/2022,113.17,115.4,112.48,113.9,"35,600,426"
7/19/2022,110.85,114.02,109.56,113.81,"36,530,945"
7/18/2022,112.64,113.68,108.37,109.03,"43,164,588"
7/15/2022,112,113.14,110.9,111.78,"46,769,120"
7/14/2022,110.21,111.09,108.37,110.37,"37,003,040"
7/13/2022,111.7,114.2,111.2,111.35,"43,722,020"
7/12/2022,116.22,116.97,113.69,114.02,"29,959,700"
7/11/2022,118,118,115.33,115.68,"31,243,700"
7/8/2022,117.25,119.68,116.9,119.35,"38,238,160"
7/7/2022,115.08,119.19,114.83,118.78,"40,935,880"
7/6/2022,113.3,115.59,111.48,114.57,"37,431,380"
7/5/2022,107.1,113.38,105.73,113.26,"39,399,640"
7/1/2022,107.93,109.25,106.73,108.74,"35,475,660"
6/30/2022,110,110.89,106.75,108.96,"43,169,060"
6/29/2022,111.55,113.16,110.87,111.7,"24,716,820"
6/28/2022,115.8,117.31,111.85,112.01,"35,880,960"
6/27/2022,118.27,118.58,115.18,115.83,"36,420,760"
6/24/2022,113,118.08,112.95,117.98,"41,163,680"
6/23/2022,112.23,112.74,110.5,112.24,"28,361,920"
6/22/2022,110.56,113.35,110.38,111.49,"30,774,140"
6/21/2022,108.93,112.49,108.6,111.54,"47,415,800"
6/17/2022,106.03,108.7,105.05,107.14,"51,376,520"
6/16/2022,107.22,108.65,105.14,106.03,"51,684,960"
6/15/2022,108.55,111.42,107.67,109.76,"39,698,180"
6/14/2022,106.54,107.92,105.8,106.72,"33,706,260"
6/13/2022,106.79,108.79,106.12,106.39,"47,251,920"
6/10/2022,112.45,113.28,110.37,111.16,"41,481,840"
6/9/2022,116.33,118.3,114.78,114.84,"25,797,960"
6/8/2022,116.76,118.57,116.6,117.19,"26,107,740"
6/7/2022,115.48,117.69,115.05,117.15,"31,590,460"
6/6/2022,116.7,119.35,116.16,116.82,"33,541,540"
6/3/2022,116.06,116.32,113.52,114.54,"26,135,460"
6/2/2022,114,117.9,112.95,117.62,"37,992,280"
6/1/2022,114.85,117.1,113.25,113.89,"36,605,520"
5/31/2022,112.75,115.73,112.08,113.76,"50,012,260"
5/27/2022,109.48,112.32,109.14,112.32,"37,914,120"
5/26/2022,105.68,108.65,105.22,107.79,"37,947,220"
5/25/2022,104.99,106.5,103.86,105.8,"40,257,340"
5/24/2022,105.77,106.46,101.88,105.97,"76,779,780"
5/23/2022,109.59,112.15,108.74,111.49,"37,184,940"
5/20/2022,111.95,112.18,105.8,108.91,"48,962,960"
5/19/2022,111.43,113.01,110,110.38,"34,144,400"
5/18/2022,115,115.4,111.56,111.9,"35,125,980"
5/17/2022,116.84,116.9,114.87,116.47,"23,053,160"
5/16/2022,114.96,116.17,113.89,114.45,"25,990,440"
5/13/2022,114.53,117.88,113.61,116.05,"35,038,480"
5/12/2022,111.38,114.3,109.82,112.84,"53,836,180"
5/11/2022,113.24,116.36,113.24,113.6,"37,534,740"
5/10/2022,115.51,116.25,112.9,114.4,"39,900,380"
5/9/2022,113.25,115.08,112,112.51,"40,802,860"
5/6/2022,115.18,117.57,114.02,115.75,"39,709,580"
5/5/2022,120.2,121.04,115.01,116.51,"45,840,580"
5/4/2022,117.03,122.85,115.12,122.26,"49,915,280"
5/3/2022,116.43,118.44,116.03,117.33,"24,967,360"
5/2/2022,113.41,116.75,112.6,116.58,"35,533,020"
4/29/2022,116.73,117.92,113.81,114.11,"42,676,000"
4/28/2022,116.42,119.65,114.12,118.52,"48,884,640"
4/27/2022,114.47,117.24,112.74,114.29,"91,820,580"
4/26/2022,122.29,122.51,118.51,118.65,"73,054,880"
4/25/2022,119.1,123.28,118.51,123.07,"46,128,260"
4/22/2022,125,125.4,118.93,119.64,"56,883,720"
4/21/2022,129.25,130.1,124.53,124.81,"36,445,160"
4/20/2022,130.89,131.4,127.5,128.04,"31,695,460"
4/19/2022,127.69,130.33,127,130.01,"26,489,760"
4/18/2022,127,128.21,126.18,127.68,"20,808,660"
4/14/2022,130.48,130.48,126.6,126.73,"31,597,980"
4/13/2022,128,130.33,127.74,129.89,"27,927,240"
4/12/2022,131.6,131.6,126.79,127.71,"32,710,700"
4/11/2022,131.82,132.09,128.67,128.82,"36,883,060"
4/8/2022,135.58,135.67,132.97,133.29,"25,142,800"
4/7/2022,136.01,137.16,134.23,135.89,"26,233,600"
4/6/2022,138.75,139.36,135.52,136.55,"32,468,480"
4/5/2022,142.87,142.99,140.38,140.59,"21,418,120"
4/4/2022,140.36,143.71,140.31,142.97,"25,970,840"
4/1/2022,139.5,140.47,138.31,140.15,"25,941,440"
3/31/2022,142.05,142.11,139.02,139.07,"37,524,720"
3/30/2022,142.46,142.72,141.6,141.94,"19,884,760"
3/29/2022,142.65,143.79,142.04,142.51,"34,317,020"
3/28/2022,140.9,142,139.81,141.46,"35,049,260"
3/25/2022,141.92,142.04,139.74,141.67,"24,143,080"
3/24/2022,139.2,141.62,137.75,141.57,"26,396,560"
3/23/2022,138.7,139.59,137.83,138.28,"25,153,400"
3/22/2022,136.1,141.05,136.1,139.87,"35,495,540"
3/21/2022,136.16,137.05,134.09,136.1,"26,831,680"
3/18/2022,133.42,136.24,132.26,136.13,"44,566,900"
3/17/2022,133.15,134.08,132.19,133.84,"28,263,920"
3/16/2022,130.73,133.33,128.73,133.28,"35,576,980"
3/15/2022,126.98,129.85,125.72,129.2,"30,919,520"
3/14/2022,130.25,130.41,125.28,125.95,"38,811,260"
3/11/2022,133.49,133.8,129.63,129.87,"31,526,440"
3/10/2022,131.27,133.27,130.91,132.43,"27,101,400"
3/9/2022,131.25,133.74,129.9,133.42,"37,025,400"
3/8/2022,126.25,131.25,125.67,127.1,"40,427,100"
3/7/2022,131.49,131.73,126.3,126.38,"45,112,940"
3/4/2022,132.93,133.85,130.34,131.91,"30,450,640"
3/3/2022,136.01,136.44,133.03,133.9,"24,603,240"
3/2/2022,134.63,135.26,133.07,134.57,"23,519,800"
3/1/2022,134.88,136.26,133.22,134.06,"26,495,360"
2/28/2022,133.05,135.75,132.59,135.06,"38,864,420"
2/25/2022,133.55,135.27,131.75,134.46,"36,405,980"
2/24/2022,124.95,133,124.95,132.69,"54,455,080"
2/23/2022,131.65,132.05,127.53,127.59,"32,786,020"
2/22/2022,129.84,132.18,128.22,129.81,"44,990,740"
2/18/2022,133.47,134.07,130.2,130.4,"45,619,440"
2/17/2022,136.24,137.11,132.48,132.54,"38,949,500"
2/16/2022,136.65,138.09,134.92,137.74,"25,021,300"
2/15/2022,137.57,138.11,135.82,136.61,"26,711,260"
2/14/2022,133.26,136.3,133.26,135.53,"34,301,080"
2/11/2022,138.6,139.16,133.4,134.28,"39,958,340"
2/10/2022,139.7,141.48,137.96,138.62,"39,330,660"
2/9/2022,140.96,142.52,140.19,141.59,"40,143,880"
2/8/2022,139.03,140,137.01,139.4,"54,283,600"
2/7/2022,144.25,144.25,138.9,139.2,"54,973,300"
2/4/2022,143.44,144.88,140.52,143.29,"57,998,220"
2/3/2022,145.71,149.68,142.67,143.09,"71,517,220"
2/2/2022,151.25,151.55,145.52,148,"123,199,220"
2/1/2022,137.59,137.79,134.37,137.64,"68,643,640"
1/31/2022,134.16,135.47,132.21,135.3,"39,986,000"
1/28/2022,129.66,133.36,128.48,133.35,"34,361,480"
1/27/2022,131.3,132.65,128.93,129.01,"32,018,780"
1/26/2022,131.12,133,127.14,129.23,"49,129,500"
1/25/2022,128.74,129.4,126.5,126.93,"46,960,560"
1/24/2022,125.98,131.2,124.5,130.8,"76,694,240"
1/21/2022,132.59,134.87,130.09,130.35,"55,651,420"
1/20/2022,136.25,137.63,132.96,133.31,"29,907,140"
1/19/2022,136.52,137.96,135.02,135.12,"28,647,640"
1/18/2022,136.18,137.13,135.44,136,"34,888,100"
1/14/2022,137.08,140.74,137,139.48,"29,661,280"
1/13/2022,141.54,142.85,138.41,138.59,"31,436,600"
1/12/2022,141.15,142.61,140.69,141.43,"26,112,040"
1/11/2022,138.01,140.22,136.69,139.74,"28,729,700"
1/10/2022,135.08,138.82,133.16,138.67,"44,408,120"
1/7/2022,138.15,138.45,135.77,137.02,"29,760,560"
1/6/2022,137,139.94,136.56,137.75,"37,347,420"
1/5/2022,144.42,144.5,137.69,137.78,"54,618,280"
1/4/2022,145.4,146.48,143.72,144.4,"28,399,440"
1/3/2022,145.06,145.85,143.71,144.99,"28,678,940"
12/31/2021,146.05,146.7,144.85,144.85,"18,135,180"
12/30/2021,146.69,147.3,145.99,146.2,"15,687,720"
12/29/2021,146.64,147.42,145.65,146.66,"17,787,460"
12/28/2021,148.24,148.3,146.05,146.69,"18,254,300"
12/27/2021,147.26,148.34,147.17,147.91,"15,984,460"
12/23/2021,146.5,148.24,146.45,146.92,"26,383,440"
12/22/2021,143.07,146.5,143.07,146.42,"26,322,380"
12/21/2021,142.05,143.87,140.5,143.47,"28,755,360"
12/20/2021,140,141.77,139.32,141.61,"27,192,360"
12/17/2021,142.5,143.83,141.3,141.73,"51,017,880"
12/16/2021,147.17,147.68,143.61,144.45,"33,650,380"
12/15/2021,143.41,146.72,141.68,146.44,"36,370,460"
12/14/2021,143.97,144.48,141.21,143.91,"38,446,240"
12/13/2021,147.78,147.97,145.52,145.83,"27,069,400"
12/10/2021,148.7,148.98,146.7,148,"24,462,760"
12/9/2021,147.59,149.1,147.12,147.64,"23,269,720"
12/8/2021,147.6,148.39,146.41,148.19,"24,270,320"
12/7/2021,145.6,147.53,145.23,147.27,"32,240,300"
12/6/2021,143.04,143.85,140.15,143.16,"30,618,100"
12/3/2021,143.68,144.4,140.3,142,"41,230,160"
12/2/2021,141.25,143.86,140.21,142.97,"29,194,840"
12/1/2021,144,145.95,140.91,141.05,"34,055,240"
11/30/2021,145.01,146,141.6,141.9,"42,067,220"
11/29/2021,144,146.3,143.89,145.53,"32,595,040"
11/26/2021,144.35,144.56,141.84,142.18,"30,469,240"
11/24/2021,145.47,146.25,144.37,146.12,"18,040,140"
11/23/2021,146.15,146.66,144.12,145.78,"27,231,160"
11/22/2021,149.33,149.83,146.15,146.3,"30,629,200"
11/19/2021,149.98,150.97,148.9,148.93,"33,699,380"
11/18/2021,148.24,150.58,147.88,149.84,"35,628,220"
11/17/2021,148.03,148.56,147.24,148.05,"19,599,500"
11/16/2021,148.15,148.76,147.31,147.88,"18,904,000"
11/15/2021,148.9,149.55,147.58,148.45,"23,507,040"
11/12/2021,146.62,148.85,145.41,148.68,"22,360,000"
11/11/2021,146.49,147.54,145.6,145.77,"16,517,480"
11/10/2021,147.5,148.07,144.54,145.89,"29,969,800"
11/9/2021,149.23,149.83,147.24,148.92,"19,529,740"
11/8/2021,149.83,150.61,148.43,149.03,"23,052,500"
11/5/2021,149.17,150.33,148.2,148.85,"38,354,740"
11/4/2021,147.12,149.73,146.31,148.27,"38,411,260"
11/3/2021,145.9,146.67,144.59,146.6,"27,493,240"
11/2/2021,144.58,146.61,144.34,145.43,"33,482,240"
11/1/2021,148.05,148.05,143.23,143.5,"46,923,240"
10/29/2021,145.08,148.24,144.65,148.05,"43,320,300"
10/28/2021,147.13,147.16,144.63,145.85,"36,206,380"
10/27/2021,139.41,148.65,139.41,146.22,"85,781,400"
10/26/2021,139.26,140.08,138.3,139.31,"49,235,020"
10/25/2021,137.55,138,135.42,137.45,"34,412,260"
10/22/2021,139.15,140.58,136.06,137.57,"50,588,960"
10/21/2021,141.77,142.16,140.5,141.89,"26,292,260"
10/20/2021,143.34,143.55,141.38,141.77,"23,288,060"
10/19/2021,143.39,143.66,142.6,143.24,"20,163,000"
10/18/2021,141.08,142.8,141.07,142.78,"20,396,160"
10/15/2021,141.61,141.72,140.76,141.37,"30,274,440"
