,MSFT (NASD),,,,
Date,Open,High,Low,Close,Volume
3/17/2021,236.15,238.55,233.23,237.04,"29,562,100"
3/16/2021,236.28,240.06,235.94,237.71,"28,092,196"
3/15/2021,234.96,235.19,231.81,234.81,"26,042,669"
3/12/2021,234.01,235.82,233.23,235.75,"22,653,662"
3/11/2021,234.96,239.17,234.31,237.13,"29,907,586"
3/10/2021,237,237,232.04,232.42,"29,746,812"
3/9/2021,232.88,235.38,231.67,233.78,"33,080,531"
3/8/2021,231.37,233.37,227.13,227.39,"35,267,440"
3/5/2021,229.52,233.27,226.46,231.6,"41,872,770"
3/4/2021,226.74,232.49,224.26,226.73,"44,727,785"
3/3/2021,232.16,233.58,227.26,227.56,"34,029,526"
3/2/2021,237.01,237.3,233.45,233.87,"22,812,459"
3/1/2021,235.9,237.47,233.15,236.94,"25,332,837"
2/26/2021,231.53,235.37,229.54,232.38,"37,819,227"
2/25/2021,232.08,234.59,227.88,228.99,"39,542,235"
2/24/2021,230.01,235.2,229,234.55,"26,339,746"
2/23/2021,230.33,234.83,228.73,233.27,"30,228,704"
2/22/2021,237.42,237.93,232.4,234.51,"36,446,936"
2/19/2021,243.75,243.86,240.18,240.97,"25,262,600"
2/18/2021,241.8,243.93,240.86,243.79,"16,925,563"
2/17/2021,241.32,244.31,240.94,244.2,"21,673,109"
2/16/2021,245.03,246.13,242.92,243.7,"26,728,487"
2/12/2021,243.93,245.3,242.73,244.99,"16,561,079"
2/11/2021,244.78,245.15,242.15,244.49,"15,751,059"
2/10/2021,245,245.92,240.89,242.82,"22,186,706"
2/9/2021,241.87,244.76,241.38,243.77,"23,564,953"
2/8/2021,243.15,243.68,240.81,242.47,"22,211,929"
2/5/2021,242.23,243.28,240.42,242.2,"18,054,752"
2/4/2021,242.66,243.24,240.37,242.01,"25,296,100"
2/3/2021,239.57,245.09,239.26,243,"27,158,104"
2/2/2021,241.3,242.31,238.69,239.51,"25,916,337"
2/1/2021,235.06,242.5,232.43,239.65,"33,314,193"
1/29/2021,235.99,238.02,231.35,231.96,"42,503,138"
1/28/2021,235.61,242.64,235.09,238.93,"49,111,159"
1/27/2021,238,240.44,230.14,232.9,"69,870,638"
1/26/2021,231.86,234.18,230.08,232.33,"49,169,601"
1/25/2021,229.12,229.78,224.22,229.53,"33,152,095"
1/22/2021,227.08,230.07,225.8,225.95,"30,172,663"
1/21/2021,224.7,226.3,222.42,224.97,"30,749,553"
1/20/2021,217.7,225.79,217.29,224.34,"37,777,260"
1/19/2021,213.75,216.98,212.63,216.44,"30,480,859"
1/15/2021,213.52,214.51,212.03,212.65,"31,746,512"
1/14/2021,215.91,217.46,212.74,213.02,"29,346,737"
1/13/2021,214.02,216.76,213.93,216.34,"20,087,080"
1/12/2021,216.5,217.1,213.32,214.93,"23,249,336"
1/11/2021,218.47,218.91,216.73,217.49,"23,047,029"
1/8/2021,218.68,220.58,217.03,219.62,"22,956,206"
1/7/2021,214.04,219.34,213.71,218.29,"27,694,480"
1/6/2021,212.17,216.49,211.94,212.25,"35,930,653"
1/5/2021,217.26,218.52,215.7,217.9,"23,822,953"
1/4/2021,222.53,223,214.81,217.69,"37,130,139"
12/31/2020,221.7,223,219.68,222.42,"20,942,132"
12/30/2020,225.23,225.63,221.47,221.68,"20,272,337"
12/29/2020,226.31,227.18,223.58,224.15,"17,403,213"
12/28/2020,224.45,226.03,223.02,224.96,"17,933,496"
