,UBER (NYSE),,,,
Date,Open,High,Low,Close,Volume
1/13/2023,28.68,29.5,28.66,29.44,"16,940,714"
1/12/2023,28.85,29.19,28.2,29.03,"17,513,401"
1/11/2023,28.24,28.52,27.92,28.35,"15,421,719"
1/10/2023,27.4,28.25,27.15,28.04,"15,413,738"
1/9/2023,27.3,28.05,27.15,27.4,"24,962,057"
1/6/2023,25.86,26.54,25.4,26.4,"19,443,753"
1/5/2023,25.73,26.01,25.55,25.55,"9,942,038"
1/4/2023,25.73,25.97,25.32,25.91,"14,815,960"
1/3/2023,25.37,25.75,25.02,25.36,"22,155,275"
12/30/2022,24.42,24.85,24.24,24.73,"20,474,050"
12/29/2022,24.75,25.38,24.29,24.91,"17,828,296"
12/28/2022,24.21,24.72,24.02,24.59,"15,669,206"
12/27/2022,24.29,24.7,23.9,24.4,"15,258,601"
12/23/2022,24.46,24.73,24.16,24.64,"11,610,045"
12/22/2022,24.93,25.1,24.04,24.64,"23,752,734"
12/21/2022,25.15,25.67,24.87,25.36,"20,444,478"
12/20/2022,24.72,25.28,24.61,24.96,"28,536,476"
12/19/2022,26.02,26.02,24.69,24.95,"35,616,094"
12/16/2022,26.06,26.45,25.66,25.97,"22,684,200"
12/15/2022,26.98,27.11,25.88,26.24,"19,383,729"
12/14/2022,27.07,27.82,26.77,27.47,"19,427,279"
12/13/2022,28.03,28.46,26.91,26.98,"27,635,364"
12/12/2022,26.42,27.23,26.11,27.03,"16,483,626"
12/9/2022,26.4,26.96,26.24,26.55,"14,253,514"
12/8/2022,26.52,27.03,26.28,26.45,"14,909,647"
12/7/2022,26.61,26.87,26.02,26.4,"21,193,949"
12/6/2022,27.7,27.86,26.7,26.92,"19,772,905"
12/5/2022,28.41,28.86,27.65,27.7,"17,486,336"
12/2/2022,27.38,28.78,27.19,28.75,"15,980,529"
12/1/2022,29.22,29.6,28.3,28.34,"18,066,596"
11/30/2022,27.8,29.14,27.64,29.14,"18,177,028"
11/29/2022,28.05,28.23,27.58,27.76,"15,007,821"
11/28/2022,28.11,28.66,27.73,27.76,"11,126,985"
11/25/2022,28.71,28.88,28.24,28.5,"5,200,356"
11/23/2022,28.36,28.94,28.14,28.79,"12,964,924"
11/22/2022,28.27,28.33,27.31,28.08,"20,368,643"
11/21/2022,28.52,28.71,28.01,28.25,"16,159,379"
11/18/2022,29.21,29.41,28.7,28.96,"15,676,273"
11/17/2022,29.1,29.5,28.4,28.88,"22,684,059"
11/16/2022,30.95,31.16,29.83,30.04,"26,540,199"
11/15/2022,30.25,31.82,30,31.57,"43,066,493"
11/14/2022,28.85,29.7,28.79,29.07,"24,426,194"
11/11/2022,28.95,30.44,28.7,29.15,"35,861,055"
11/10/2022,28.38,29.32,28.1,28.85,"35,196,917"
11/9/2022,27.31,28.01,26.44,26.55,"21,186,266"
11/8/2022,27.57,28.33,26.82,27.44,"27,033,898"
11/7/2022,28.71,28.83,27.62,27.69,"19,204,075"
11/4/2022,29.44,29.73,28.04,28.39,"22,304,190"
11/3/2022,28.03,29.52,27.71,28.73,"28,033,212"
11/2/2022,29.57,30.16,28.63,28.81,"37,083,453"
11/1/2022,30.07,31,29.12,29.75,"87,994,014"
10/31/2022,27.61,27.73,26.3,26.57,"37,327,035"
10/28/2022,27.81,27.88,26.49,27.5,"27,116,701"
10/27/2022,28.4,28.76,27.66,27.82,"16,768,633"
10/26/2022,28.17,28.98,27.87,28.2,"17,349,542"
10/25/2022,28,28.55,27.33,28.36,"17,366,382"
10/24/2022,27.71,27.98,26.51,27.65,"19,194,218"
10/21/2022,27.5,28.44,27.16,28.02,"20,651,552"
10/20/2022,27.32,28.68,27.24,27.87,"20,835,269"
10/19/2022,27.06,27.73,26.85,27.53,"15,428,466"
10/18/2022,27.07,27.71,26.5,27.61,"25,643,306"
10/17/2022,25.26,26.27,25.08,25.94,"25,074,914"
10/14/2022,25.65,26.07,24.66,24.71,"22,553,952"
10/13/2022,24.47,26.03,24.19,25,"32,838,495"
10/12/2022,25.05,26.12,24.56,25.98,"30,945,853"
10/11/2022,25.55,26.05,22.94,24.66,"92,468,794"
10/10/2022,28.24,28.45,27.23,27.53,"13,413,529"
10/7/2022,28.83,28.86,27.92,28.07,"19,690,232"
10/6/2022,29.2,30.24,28.96,29.73,"25,399,517"
10/5/2022,28.48,29.65,28.31,29.18,"21,458,516"
10/4/2022,27.63,29.25,27.6,29.19,"25,461,714"
10/3/2022,26.76,26.9,25.96,26.72,"19,940,791"
9/30/2022,26.16,27.31,26.16,26.5,"23,894,897"
9/29/2022,27.66,27.72,26,26.42,"26,170,831"
9/28/2022,27.43,28.16,27.19,28.04,"21,290,383"
9/27/2022,27.67,28.49,27.16,27.57,"22,392,782"
9/26/2022,27.71,28.16,26.82,26.89,"24,953,815"
9/23/2022,28.01,28.34,27.36,27.82,"26,472,605"
9/22/2022,30.19,30.19,28.53,28.58,"29,038,114"
9/21/2022,31.45,31.68,30.35,30.47,"22,328,370"
9/20/2022,31.49,32.56,31.19,31.49,"23,652,413"
9/19/2022,31.44,31.98,31.06,31.49,"22,867,569"
9/16/2022,30.96,32.15,30.88,31.93,"50,970,679"
9/15/2022,32.95,34.33,32.74,33.13,"41,849,089"
9/14/2022,31.25,33.14,31.1,33.05,"34,493,388"
9/13/2022,30.69,31.78,30.22,31.32,"29,364,741"
9/12/2022,31.95,32.62,31.85,32.5,"29,349,907"
9/9/2022,31,32.05,30.89,31.78,"28,055,864"
9/8/2022,29.42,30.9,29.29,30.68,"29,393,512"
9/7/2022,28.91,30.15,28.82,30.03,"20,632,173"
9/6/2022,29.34,29.37,28.28,28.89,"20,422,802"
9/2/2022,29.5,29.64,28.65,29.05,"14,604,356"
9/1/2022,28.17,28.95,27.69,28.92,"17,828,091"
8/31/2022,29.11,29.88,28.75,28.76,"20,740,662"
8/30/2022,29.18,29.29,28.12,28.71,"24,409,322"
8/29/2022,28.1,29.19,28.06,28.74,"17,245,101"
8/26/2022,29.51,29.71,28.36,28.58,"16,490,809"
8/25/2022,28.89,29.64,28.81,29.62,"15,470,918"
8/24/2022,27.93,29.22,27.85,28.71,"20,022,520"
8/23/2022,28.06,28.68,27.75,27.81,"24,298,325"
8/22/2022,28.34,28.81,27.87,28,"20,233,070"
8/19/2022,29.5,29.57,28.63,29.01,"24,180,912"
8/18/2022,30.56,30.62,29.86,30.15,"20,831,615"
8/17/2022,31.65,31.71,30.44,30.72,"24,239,351"
8/16/2022,32.08,32.73,31.33,32.38,"28,072,342"
8/15/2022,32.1,32.91,31.93,32.49,"14,149,208"
8/12/2022,32.59,32.76,31.7,32.47,"21,950,694"
8/11/2022,33.16,33.36,32.04,32.24,"24,624,627"
8/10/2022,32.44,33.19,32.23,32.8,"31,318,068"
8/9/2022,31.37,31.55,30.72,31.06,"27,042,937"
8/8/2022,32.33,32.96,31.66,31.85,"28,064,916"
8/5/2022,31.2,32.63,31.04,32.01,"39,963,623"
8/4/2022,29.78,32.23,29.6,31.85,"55,573,597"
8/3/2022,29.72,31.43,29.36,30.19,"62,061,199"
8/2/2022,28.49,29.43,27.1,29.25,"107,926,256"
8/1/2022,23.43,24.62,22.89,24.6,"46,960,678"
7/29/2022,23.18,23.49,22.39,23.45,"29,406,649"
7/28/2022,22.89,23.42,22.14,23.31,"22,886,075"
7/27/2022,23,23.32,22.49,23.09,"28,384,348"
7/26/2022,23.15,23.15,22.45,22.55,"24,402,801"
7/25/2022,23.27,23.54,22.63,23.35,"12,923,042"
7/22/2022,24.33,24.81,23.09,23.3,"20,209,442"
7/21/2022,24.02,24.25,23.6,24.23,"18,425,364"
7/20/2022,22.89,24.22,22.81,24.12,"27,844,618"
7/19/2022,22.75,23.08,22.19,22.67,"23,148,938"
7/18/2022,22.17,23.2,22.11,22.58,"30,935,843"
7/15/2022,21,21.78,20.77,21.67,"24,503,631"
7/14/2022,21.25,21.47,20.59,20.65,"31,561,675"
7/13/2022,20.93,21.61,20.72,21.5,"18,994,916"
7/12/2022,21.28,21.78,20.98,21.57,"17,373,535"
7/11/2022,21.95,22.25,21.14,21.19,"17,562,117"
7/8/2022,22.43,22.96,21.83,22.34,"20,231,300"
7/7/2022,21.64,22.76,21.61,22.74,"23,121,886"
7/6/2022,21.5,22.08,21.32,21.5,"32,689,429"
7/5/2022,21.17,22.55,20.83,22.52,"24,515,795"
7/1/2022,20.7,21.37,20.43,21.34,"20,693,312"
6/30/2022,21.11,21.13,19.9,20.46,"30,882,454"
6/29/2022,22.11,22.15,21.08,21.47,"30,704,792"
6/28/2022,22.97,23.46,22.04,22.08,"24,360,150"
6/27/2022,23.45,23.64,22.35,22.86,"27,153,354"
6/24/2022,22.48,23.19,22.3,23.03,"38,139,998"
6/23/2022,21.63,22.44,21.39,22.37,"27,010,545"
6/22/2022,21.41,22.21,21.3,21.5,"32,353,317"
6/21/2022,22,22.46,21.69,21.76,"35,257,652"
6/17/2022,20.37,21.96,20.37,21.81,"46,728,428"
6/16/2022,21.04,21.4,20.16,20.47,"55,312,350"
6/15/2022,21.34,22.39,21.24,22.03,"36,073,711"
6/14/2022,21.72,21.95,20.89,21.09,"43,006,334"
6/13/2022,22.22,22.59,21.34,21.57,"33,130,326"
6/10/2022,24.8,24.97,23.65,23.72,"29,897,398"
6/9/2022,25.94,26.69,25.36,25.44,"42,149,561"
6/8/2022,25.7,26.55,25.3,25.83,"31,225,314"
6/7/2022,24.2,25.7,24.07,25.3,"27,453,723"
6/6/2022,24.86,25.44,24.28,24.73,"29,834,677"
6/3/2022,24.17,24.5,23.73,24.15,"24,283,631"
6/2/2022,23.07,24.83,22.94,24.74,"30,691,100"
6/1/2022,23.53,23.87,22.57,22.94,"26,383,612"
5/31/2022,23.5,23.9,23.03,23.2,"33,194,791"
5/27/2022,23.49,24.13,23.33,23.67,"29,710,163"
5/26/2022,22.15,23.28,21.93,23.1,"30,199,398"
5/25/2022,21.71,22.36,21.28,22.04,"31,270,767"
5/24/2022,23.69,23.74,21.41,21.55,"40,726,064"
5/23/2022,23.32,23.83,22.71,23.78,"35,204,796"
5/20/2022,23.81,24.1,22.41,23.35,"32,104,721"
5/19/2022,22.29,23.81,22.2,23.24,"36,461,194"
5/18/2022,23.98,24.19,22.34,22.46,"35,747,320"
5/17/2022,24.32,24.9,23.59,24.2,"33,859,419"
5/16/2022,24.31,24.46,23.4,23.59,"27,285,196"
5/13/2022,23.88,24.87,23.68,24.39,"53,577,608"
5/12/2022,22.15,24.06,21.69,23.29,"63,999,349"
5/11/2022,23.28,24.15,22.5,22.57,"51,137,731"
5/10/2022,23.85,24.55,22.8,23.67,"47,982,539"
5/9/2022,25.41,26.07,22.8,23.05,"58,095,902"
5/6/2022,26.84,26.84,24.75,26.07,"56,575,091"
5/5/2022,27.87,28.83,26.2,26.83,"52,804,190"
5/4/2022,27.41,28.4,25.9,28.1,"115,601,799"
5/3/2022,30.15,30.59,28.85,29.47,"58,340,743"
5/2/2022,31.24,31.35,29.51,30.39,"45,650,984"
4/29/2022,32.52,33.15,31.41,31.48,"24,948,561"
4/28/2022,31,32.87,30.98,32.82,"30,251,634"
4/27/2022,31.1,31.98,30.16,30.68,"30,762,551"
4/26/2022,32.04,32.2,31,31.33,"26,981,913"
4/25/2022,30.59,32.5,30.46,32.44,"29,416,342"
4/22/2022,31.62,32.23,30.8,30.83,"22,748,875"
4/21/2022,34.25,34.41,31.37,31.68,"32,937,079"
4/20/2022,33.99,34.32,33.18,33.21,"21,330,537"
4/19/2022,32.16,33.99,31.97,33.8,"23,319,577"
4/18/2022,32.55,32.61,31.42,31.79,"24,413,827"
4/14/2022,32.86,33.47,32.64,32.68,"18,763,002"
4/13/2022,32,33.11,31.93,32.63,"20,186,411"
4/12/2022,32.4,33.1,31.71,31.99,"32,619,822"
4/11/2022,31.36,32.69,31.11,32.04,"19,680,280"
4/8/2022,31.92,32.55,31.58,32.05,"17,991,006"
4/7/2022,33.34,33.34,31.02,32.27,"34,581,042"
4/6/2022,33.86,34,32.55,33.41,"28,854,792"
4/5/2022,36.35,36.61,34.72,34.96,"20,984,153"
4/4/2022,36.4,36.93,36.22,36.51,"20,230,463"
4/1/2022,35.68,36.48,35.4,35.98,"16,793,293"
3/31/2022,36.5,36.73,35.37,35.68,"20,608,652"
3/30/2022,36.66,37.09,36.21,36.58,"22,306,544"
3/29/2022,35.57,37.45,35.57,37.19,"37,969,049"
3/28/2022,34.14,34.91,33.73,34.77,"22,175,227"
3/25/2022,34.55,34.92,33.55,34.06,"28,078,801"
3/24/2022,34.74,34.95,33.44,34.7,"52,533,577"
3/23/2022,32.71,33.68,32.57,33.06,"19,024,734"
3/22/2022,31.93,33.6,31.84,33.35,"21,852,813"
3/21/2022,32.82,32.82,31.25,31.98,"35,200,551"
3/18/2022,32.52,33.42,32.33,33.36,"35,827,779"
3/17/2022,32.34,32.92,31.57,32.85,"27,278,649"
3/16/2022,30.53,32.64,30.27,32.61,"34,688,771"
3/15/2022,29.52,30.41,29.06,29.8,"33,060,463"
3/14/2022,30.51,30.55,28.8,29.27,"41,897,395"
3/11/2022,31.3,31.39,30.42,30.76,"29,454,687"
3/10/2022,30.86,31.15,29.84,30.41,"30,785,877"
3/9/2022,31.75,32.73,31.2,31.5,"33,734,505"
3/8/2022,28.51,31.57,28.28,30.74,"55,014,737"
3/7/2022,31.48,31.94,28.55,28.57,"60,265,807"
3/4/2022,31.5,31.73,29.27,29.83,"52,160,494"
3/3/2022,34.22,34.29,31.42,31.72,"38,337,646"
3/2/2022,34,34.22,32.97,34.04,"26,112,459"
3/1/2022,35.45,35.6,33.65,33.89,"31,436,210"
2/28/2022,35.26,36.31,34.98,36.03,"44,865,191"
2/25/2022,34.84,35.27,34.01,34.98,"23,691,460"
2/24/2022,29.97,34.95,29.71,34.87,"42,978,100"
2/23/2022,33.89,34.21,32.3,32.39,"27,254,847"
2/22/2022,34.21,35.1,33.28,33.68,"28,731,344"
2/18/2022,35.52,36.33,34.67,34.68,"28,199,909"
2/17/2022,36.13,37.43,35.41,35.71,"28,432,069"
2/16/2022,36.63,37.39,36.27,36.58,"33,165,886"
2/15/2022,35.44,37.21,35.11,37.09,"38,183,480"
2/14/2022,35.2,35.99,34.32,34.59,"44,556,745"
2/11/2022,37.96,38.65,34.48,35.29,"72,568,418"
2/10/2022,41,42.56,37.35,37.75,"113,914,950"
2/9/2022,38.81,40.4,38.16,40.19,"52,614,106"
2/8/2022,37.25,38.57,36.95,38.34,"25,857,624"
2/7/2022,36.99,39.05,36.99,37.54,"30,303,150"
2/4/2022,35,37.36,34.36,37.05,"33,082,059"
2/3/2022,36.08,36.74,34.3,34.54,"32,192,064"
2/2/2022,38.53,38.62,37.03,37.17,"19,591,123"
2/1/2022,37.63,38.71,37.2,38.61,"19,669,916"
1/31/2022,35.34,37.54,35.3,37.4,"22,899,346"
1/28/2022,34.17,35.22,32.81,35.21,"28,007,148"
1/27/2022,35.37,35.79,33.94,34.09,"26,086,745"
1/26/2022,36.07,36.68,34.45,34.8,"29,495,872"
1/25/2022,35.47,36.09,34.52,34.82,"29,576,954"
1/24/2022,34.91,36.42,33.51,36.28,"49,280,929"
1/21/2022,37.41,37.6,35.85,35.94,"41,836,756"
1/20/2022,38.29,39.64,37.75,37.82,"21,720,081"
1/19/2022,38.21,38.89,37.12,37.86,"35,552,500"
1/18/2022,40.96,40.96,38.37,38.41,"36,902,203"
1/14/2022,42.4,42.72,40.36,41.51,"25,817,795"
1/13/2022,43.34,43.92,42.73,42.87,"17,190,076"
1/12/2022,43.99,44.1,42.54,43.04,"18,993,872"
1/11/2022,42.36,44.17,42.19,43.62,"22,160,976"
1/10/2022,41.48,42.81,40.16,42.6,"29,783,757"
1/7/2022,42,42.65,41.2,41.51,"24,875,831"
1/6/2022,43.11,44.08,40.97,42.03,"32,434,252"
1/5/2022,44.29,45.9,42.86,43.24,"28,498,663"
1/4/2022,44.23,44.8,42.58,44.42,"30,845,320"
1/3/2022,42.48,44.41,41.89,43.95,"26,364,965"
12/31/2021,42.53,43.12,41.93,41.93,"13,746,893"
12/30/2021,42.29,43.34,42.2,42.66,"13,516,258"
12/29/2021,42.72,42.93,41.82,42.46,"15,908,613"
12/28/2021,42.6,43.74,42.3,42.54,"21,480,952"
12/27/2021,43.44,44.24,42.82,42.96,"28,284,981"
12/23/2021,43.03,44.35,42.76,43.91,"21,763,417"
12/22/2021,41.95,43.23,41.45,43.02,"27,675,666"
12/21/2021,39.82,42.08,39.82,41.97,"28,385,155"
12/20/2021,38.45,40.15,38.08,39.7,"28,153,739"
12/17/2021,37.2,40,36.74,39.68,"51,048,124"
12/16/2021,38.25,38.58,37.13,37.7,"31,478,392"
12/15/2021,36.91,38.38,36.24,37.83,"37,612,574"
12/14/2021,35.25,38.45,35.21,37.26,"45,491,730"
12/13/2021,36.18,36.31,34.88,35.73,"38,394,720"
12/10/2021,37.41,37.87,36.61,36.67,"25,760,609"
12/9/2021,38.44,38.7,37.48,37.54,"22,994,806"
12/8/2021,38.3,39.41,38.01,38.81,"29,688,552"
12/7/2021,39.4,40.22,37.76,38.08,"40,443,330"
12/6/2021,35.95,38.69,35.44,38.49,"36,689,186"
12/3/2021,37.42,37.84,35.26,35.85,"47,392,730"
12/2/2021,36.55,38.4,36.45,38.12,"32,266,969"
12/1/2021,39.45,39.5,35.8,36.02,"47,369,182"
11/30/2021,39.25,39.95,37.04,38,"55,268,520"
11/29/2021,41.06,41.25,38.78,39.7,"27,724,438"
11/26/2021,39.61,40.62,38.77,40.52,"35,453,586"
11/24/2021,42,42.37,41.24,42.08,"17,118,201"
11/23/2021,42.38,43.14,41.6,42.68,"18,099,396"
11/22/2021,43.96,44.4,41.81,42.6,"31,355,201"
11/19/2021,43.93,44.72,43.5,44.23,"21,465,519"
11/18/2021,44.53,45.33,43.58,45,"27,839,873"
11/17/2021,45.36,45.64,43.9,44.11,"25,036,352"
11/16/2021,45.54,46.66,44.86,45.76,"46,219,690"
11/15/2021,45.11,45.26,43.56,43.61,"19,690,003"
11/12/2021,43.57,45.13,43.57,45.12,"29,804,574"
11/11/2021,43.32,43.72,42.44,43.28,"27,307,792"
11/10/2021,44.9,45.25,42.6,43.38,"33,712,210"
11/9/2021,45.91,45.98,43.68,45.51,"33,588,854"
11/8/2021,47.08,47.65,45.82,45.89,"25,257,852"
11/5/2021,47.5,48.74,46.61,47.19,"45,641,491"
11/4/2021,45.54,46.53,44.99,45.27,"31,903,047"
11/3/2021,45.33,46.26,44.71,45.72,"38,499,594"
11/2/2021,44.34,44.35,42.33,42.89,"28,002,584"
11/1/2021,44.07,45.03,43.65,44.36,"20,983,925"
10/29/2021,44.49,44.8,43.57,43.82,"18,283,203"
10/28/2021,45,45.41,44.38,44.62,"14,768,789"
10/27/2021,46.47,46.55,44.17,44.73,"26,999,752"
10/26/2021,46.28,47.69,45.86,46.02,"19,491,761"
10/25/2021,45.67,46.07,45.02,45.72,"12,955,477"
10/22/2021,46,46.5,45.23,45.51,"19,259,203"
10/21/2021,45.97,47.54,45.52,46.47,"15,741,030"
10/20/2021,47.15,47.54,45.93,46,"15,570,862"
10/19/2021,47.2,47.69,46.74,47.05,"16,500,199"
10/18/2021,47.68,47.95,46.75,47.07,"19,806,658"
10/15/2021,47.91,48.84,47.34,48.36,"20,581,670"
10/14/2021,46.98,47.94,46.84,47.28,"18,514,016"
10/13/2021,46.26,47,45.94,46.41,"13,754,404"
10/12/2021,46.33,47.05,46.16,46.72,"12,404,189"
10/11/2021,47.7,47.87,46.28,46.29,"16,336,783"
10/8/2021,48.08,48.88,47.61,47.77,"17,980,417"
10/7/2021,47.64,48.24,46.89,47.91,"25,961,566"
10/6/2021,45.33,47.18,45,47.01,"24,868,676"
10/5/2021,45.91,46.08,45.35,45.61,"12,433,928"
10/4/2021,46.47,46.83,45.2,45.72,"21,588,150"
10/1/2021,45.92,47.25,45.79,47.05,"25,428,283"
9/30/2021,44.71,45.37,43.86,44.8,"16,659,698"
9/29/2021,46,46.53,44.3,44.52,"24,599,488"
9/28/2021,46.7,47,45.76,45.98,"23,707,883"
9/27/2021,46.77,47.43,46.19,47.25,"23,034,751"
9/24/2021,45.46,47.05,45.29,46.63,"29,458,270"
9/23/2021,45.35,45.84,44.71,45.48,"26,232,791"
9/22/2021,44.9,46.62,44.61,44.87,"56,455,147"
9/21/2021,42.34,45,42.18,44.36,"106,631,670"
9/20/2021,38.88,40.22,38.73,39.79,"35,417,620"
9/17/2021,39.9,40.23,39.29,39.75,"32,178,093"
9/16/2021,38.3,39.67,38.09,39.52,"25,374,019"
9/15/2021,39,39,38.08,38.48,"30,368,821"
9/14/2021,39.9,40.1,38.55,39.01,"36,717,255"
9/13/2021,40.26,41.19,39.26,40.07,"28,868,762"
9/10/2021,40.62,40.83,39.87,39.89,"14,230,634"
9/9/2021,40.1,40.95,39.84,40.35,"14,260,282"
9/8/2021,40.85,41.34,39.83,40.07,"16,219,948"
9/7/2021,40.49,41.08,40.31,40.95,"15,708,573"
9/3/2021,41.22,41.58,40.23,40.32,"15,466,520"
9/2/2021,40.75,41.86,40.54,41.4,"20,654,223"
9/1/2021,39.98,41.67,39.87,40.62,"27,788,584"
8/31/2021,39.81,40.28,39.13,39.14,"26,395,998"
8/30/2021,40.58,40.74,39.11,39.59,"29,516,296"
8/27/2021,40.53,41.31,40.5,40.69,"13,612,504"
8/26/2021,41.49,41.94,40.54,40.62,"17,473,357"
8/25/2021,40.44,42.11,40.04,41.55,"26,498,361"
8/24/2021,41.1,41.21,39.97,40.17,"44,872,760"
8/23/2021,39,41.08,38.84,41,"33,901,259"
8/20/2021,39.69,40.08,39.24,39.95,"18,080,694"
8/19/2021,40.28,40.6,39.51,39.86,"22,471,416"
8/18/2021,40.97,41.53,40.8,40.88,"13,682,286"
8/17/2021,41,41.48,40.58,41,"20,364,438"
8/16/2021,41.76,41.79,40.86,41.5,"19,250,132"
8/13/2021,42.8,43.03,42.2,42.22,"8,598,787"
8/12/2021,42.86,42.97,42.18,42.73,"16,556,292"
8/11/2021,43.41,43.5,42,43.08,"21,766,053"
8/10/2021,43.7,44.24,43.25,43.5,"26,675,230"
8/9/2021,44.19,44.27,43.21,43.25,"19,238,407"
8/6/2021,43.74,44.94,43.65,44.28,"25,514,939"
8/5/2021,40.5,44.65,40.15,43.07,"60,871,534"
8/4/2021,42.7,42.82,41.37,41.81,"42,969,148"
8/3/2021,43.56,43.68,41.62,42.79,"37,622,181"
8/2/2021,44.1,44.29,43.45,43.49,"26,579,889"
7/30/2021,44.38,44.73,43.34,43.46,"22,194,938"
7/29/2021,44.12,45.21,44,44.69,"51,033,697"
7/28/2021,45.88,46.96,45.81,46.14,"19,510,262"
7/27/2021,46.54,46.66,44.77,45.82,"16,874,229"
7/26/2021,47.04,47.6,46.37,46.81,"12,497,997"
7/23/2021,47.61,47.69,46.78,47.46,"9,540,666"
7/22/2021,47.7,48.17,47.24,47.57,"11,560,839"
7/21/2021,46.53,47.94,46.35,47.52,"14,953,653"
7/20/2021,45.46,46.66,45.07,46.32,"13,851,368"
7/19/2021,45,45.75,44.44,45.56,"20,890,643"
7/16/2021,46.4,47.09,46.01,46.19,"18,224,518"
7/15/2021,46.86,47.46,46.15,46.42,"17,225,275"
7/14/2021,48.28,48.59,47.11,47.15,"15,837,013"
7/13/2021,48.49,48.59,47.75,48.08,"11,283,578"
7/12/2021,48.87,49.29,48.09,48.41,"14,142,309"
7/9/2021,47.84,49.25,47.71,49.07,"15,400,975"
7/8/2021,47.16,48.21,46.57,47.55,"24,930,159"
7/7/2021,50.8,51.03,48.54,48.68,"24,559,506"
7/6/2021,50.6,52.03,50.4,50.8,"21,357,834"
7/2/2021,50.57,51.83,50.39,51.71,"13,698,243"
7/1/2021,50.88,51.6,50.02,50.59,"17,732,585"
6/30/2021,51.02,51.13,49.71,50.12,"18,069,434"
6/29/2021,51,51.3,50.24,50.76,"14,104,177"
6/28/2021,51.75,52.36,50.37,51.11,"22,518,031"
6/25/2021,51.18,51.83,50.53,51.73,"25,727,827"
6/24/2021,51.3,51.55,50.22,50.82,"12,403,301"
6/23/2021,49.06,50.77,49.01,50.51,"19,843,277"
6/22/2021,48.3,49.34,47.75,49.05,"19,472,455"
6/21/2021,49.72,49.86,47.9,48.12,"30,752,163"
6/18/2021,49.31,50.39,48.78,49.7,"20,633,523"
6/17/2021,48.96,49.84,48.31,49.7,"18,887,261"
6/16/2021,49.35,49.66,48.29,48.89,"18,975,750"
6/15/2021,49.55,49.96,49.09,49.3,"20,358,633"
6/14/2021,50.06,51.49,49.56,50.77,"15,399,156"
6/11/2021,50.03,50.36,49.54,50.01,"12,127,112"
6/10/2021,49.69,49.9,48.43,49.55,"14,926,468"
6/9/2021,50,50.17,49.11,49.14,"12,615,211"
6/8/2021,50.7,51.4,48.66,49.88,"19,672,716"
6/7/2021,50.49,51.22,49.75,50.76,"16,466,233"
6/4/2021,49.56,50.22,49.07,50.18,"10,409,827"
6/3/2021,50.43,50.5,48.53,48.7,"14,712,859"
6/2/2021,51.19,51.41,50.55,50.79,"13,484,205"
6/1/2021,51.62,51.66,49.84,50.98,"16,583,752"
5/28/2021,50.68,51.74,50.47,50.83,"14,226,758"
5/27/2021,51.44,51.69,48.72,50.71,"51,346,020"
5/26/2021,50.32,51.36,49.76,51.12,"16,393,706"
5/25/2021,50.74,51.59,50.44,50.46,"16,930,933"
5/24/2021,49.33,50.4,48.85,50.03,"16,768,424"
5/21/2021,49.57,49.95,48.76,48.82,"20,013,223"
5/20/2021,49.57,49.95,48.76,49.33,"18,822,300"
5/19/2021,47.53,49.83,47.37,49.47,"16,517,476"
5/18/2021,49.67,50.29,48.53,49.17,"28,244,446"
5/17/2021,47.24,47.94,46.51,47.51,"17,475,275"
5/14/2021,45.03,47.71,44.85,47.42,"25,323,284"
5/13/2021,44.99,46.1,43.56,44.48,"36,205,110"
5/12/2021,45.9,46.11,43.17,43.81,"32,117,357"
5/11/2021,44.5,46.79,44.18,46.21,"29,106,917"
5/10/2021,47.71,47.85,45.6,45.79,"28,309,814"
5/7/2021,47.22,48.6,46.53,47.03,"27,933,929"
5/6/2021,48.39,49.81,45.72,46.65,"79,242,393"
5/5/2021,53.87,54.07,50.63,51.18,"43,970,538"
5/4/2021,54.52,54.72,52.01,52.99,"19,336,646"
5/3/2021,55.12,56.13,54.84,54.85,"13,903,303"
4/30/2021,54.3,55.65,54.11,54.77,"16,736,583"
4/29/2021,59,59.22,53.11,54.93,"43,407,953"
4/28/2021,56.88,58.48,56.66,58.44,"9,269,739"
4/27/2021,58.32,58.4,57.05,57.16,"12,926,757"
4/26/2021,58.05,58.36,57.33,57.61,"8,361,602"
4/23/2021,56.56,57.95,56.39,57.93,"8,763,212"
4/22/2021,55.85,57.22,55.19,56.28,"16,936,170"
4/21/2021,55,56.2,54.61,55.77,"11,523,907"
4/20/2021,58,58.12,55.24,55.48,"19,081,120"
4/19/2021,60,60.22,57.52,57.85,"16,956,891"
4/16/2021,60.74,60.85,59.54,60.35,"11,856,110"
4/15/2021,59.88,61.09,59.55,60.74,"17,500,176"
4/14/2021,60.11,61.5,59.18,59.23,"18,959,761"
4/13/2021,59.65,61.01,58.53,60.64,"21,006,093"
4/12/2021,59.05,60.77,58.75,59.44,"36,041,324"
4/9/2021,57.32,57.88,56.4,57.68,"10,228,466"
4/8/2021,56.65,57.94,56.54,57.83,"9,498,507"
4/7/2021,58.02,58.13,55.95,56.89,"12,921,863"
4/6/2021,57.34,58.99,57.16,58.05,"13,579,181"
4/5/2021,58.1,58.42,56.64,57.4,"13,490,249"
4/1/2021,55.61,57.63,54.81,57.6,"18,703,397"
3/31/2021,53.96,55.18,53.58,54.51,"14,760,464"
3/30/2021,52.99,54.12,52.64,53.46,"9,497,186"
