,AMZN (NASD),,,,
Date,Open,High,Low,Close,Volume
12/29/2022,82.87,84.55,82.55,84.18,"54,995,895"
12/28/2022,82.8,83.48,81.69,81.82,"58,228,575"
12/27/2022,84.97,85.35,83,83.04,"57,284,035"
12/23/2022,83.25,85.78,82.93,85.25,"57,433,655"
12/22/2022,85.52,85.68,82.25,83.79,"81,431,314"
12/21/2022,86.18,87.23,85.21,86.77,"59,267,156"
12/20/2022,85.33,86.61,84.33,85.19,"74,348,301"
12/19/2022,87.51,87.63,84.51,84.92,"83,531,460"
12/16/2022,88.27,89.35,86.73,87.86,"146,144,064"
12/15/2022,89.89,89.97,87.47,88.45,"84,802,877"
12/14/2022,92.5,93.46,89.87,91.58,"70,298,006"
12/13/2022,95.23,96.25,90.52,92.49,"100,212,038"
12/12/2022,89.21,90.58,87.87,90.55,"61,999,762"
12/9/2022,88.9,90.3,88.63,89.09,"67,398,506"
12/8/2022,89.24,90.86,87.88,90.35,"73,305,887"
12/7/2022,88.34,89.89,87.48,88.46,"68,086,880"
12/6/2022,90.5,91.04,87.9,88.25,"75,503,628"
12/5/2022,93.05,94.06,90.82,91.01,"71,535,526"
12/2/2022,94.48,95.36,93.78,94.13,"72,496,388"
12/1/2022,96.99,97.23,94.92,95.5,"68,487,969"
11/30/2022,92.47,96.54,91.53,96.54,"102,805,806"
11/29/2022,94.04,94.41,91.44,92.42,"65,567,286"
11/28/2022,93.93,96.4,93.43,93.95,"75,062,316"
11/25/2022,93.79,94.43,93.07,93.41,"35,088,609"
11/23/2022,93.24,94.58,92.83,94.13,"59,414,684"
11/22/2022,92.62,93.35,90.87,93.2,"62,191,962"
11/21/2022,93.97,95.02,90.59,92.46,"84,330,270"
11/18/2022,95.95,95.99,92.48,94.14,"72,428,185"
11/17/2022,95.37,96.97,94.03,94.85,"82,617,865"
11/16/2022,96.85,98.49,95.54,97.12,"87,958,828"
11/15/2022,103.21,103.79,97.34,98.94,"111,336,317"
11/14/2022,98.77,100.12,97.29,98.49,"99,533,072"
11/11/2022,97.88,101.19,96.66,100.79,"111,590,544"
11/10/2022,92.94,98.69,91.65,96.63,"173,414,862"
11/9/2022,89.47,89.48,85.87,86.14,"90,796,249"
11/8/2022,90.79,91.72,88.23,89.98,"88,703,370"
11/7/2022,91.95,92.1,89.04,90.53,"77,495,728"
11/4/2022,91.49,92.44,88.04,90.98,"129,101,336"
11/3/2022,92.47,93.5,89.02,89.3,"136,683,303"
11/2/2022,97.32,97.74,92.01,92.12,"135,761,798"
11/1/2022,103.99,104.58,96.06,96.79,"153,370,032"
10/31/2022,103.56,104.87,100.74,102.44,"99,251,395"
10/28/2022,97.91,103.96,97.66,103.41,"223,133,398"
10/27/2022,113.92,114.12,109.77,110.96,"129,605,362"
10/26/2022,116,119.35,114.76,115.66,"69,002,457"
10/25/2022,119.65,121.32,118.95,120.6,"50,934,609"
10/24/2022,119.98,120.39,116.57,119.82,"49,531,523"
10/21/2022,114.79,119.59,114.5,119.32,"55,660,485"
10/20/2022,113.83,118.24,113.51,115.25,"48,795,104"
10/19/2022,114.71,116.59,113.22,115.07,"47,198,122"
10/18/2022,119.06,119.52,114.79,116.36,"65,607,448"
10/17/2022,110.11,114.19,110.09,113.79,"62,781,985"
10/14/2022,114.1,114.96,106.6,106.9,"67,737,344"
10/13/2022,107.88,113.44,105.35,112.53,"86,868,103"
10/12/2022,112.49,113.83,111.4,112.9,"45,728,660"
10/11/2022,112.71,115.48,110.39,112.21,"56,432,233"
10/10/2022,115.1,116.25,112.43,113.67,"42,339,675"
10/7/2022,118,118.17,113.88,114.56,"54,677,980"
10/6/2022,120.77,121.53,119.5,120.3,"42,253,755"
10/5/2022,118.58,121.75,117.69,120.95,"48,217,535"
10/4/2022,119.89,123,119.79,121.09,"62,812,564"
10/3/2022,113.58,116.91,112.45,115.88,"50,941,854"
9/30/2022,114.08,116.92,112.84,113,"59,479,586"
9/29/2022,115.6,116.07,113.06,114.8,"58,969,714"
9/28/2022,114.38,118.7,113.8,118.01,"55,763,750"
9/27/2022,117.2,118.32,113.05,114.41,"60,094,693"
9/26/2022,113.3,117.34,113.13,115.15,"62,723,268"
9/23/2022,116,116.05,112.06,113.78,"65,126,665"
9/22/2022,117.08,118.79,116.26,117.31,"55,229,190"
9/21/2022,122.49,123.76,118.45,118.54,"58,498,887"
9/20/2022,123.35,124.4,121.14,122.19,"47,698,432"
9/19/2022,122.16,124.71,121.8,124.66,"47,279,727"
9/16/2022,122.78,123.87,120.7,123.53,"115,667,804"
9/15/2022,127.38,130.37,125.5,126.28,"52,887,196"
9/14/2022,127.36,128.84,126.33,128.55,"45,316,772"
9/13/2022,131.01,131.4,126.27,126.82,"72,694,010"
9/12/2022,134.1,136.49,134,136.45,"53,826,859"
9/9/2022,130.91,133.69,130.76,133.27,"49,422,259"
9/8/2022,127.72,130.28,127.1,129.82,"43,988,509"
9/7/2022,126.12,129.82,125.4,129.48,"47,834,487"
9/6/2022,127.92,128.62,124.74,126.11,"43,888,587"
9/2/2022,129.5,131.38,126.39,127.51,"57,429,829"
9/1/2022,126,128.02,123.66,127.82,"56,636,145"
8/31/2022,129.45,130.59,126.74,126.77,"53,648,702"
8/30/2022,131.25,132.07,126.85,128.73,"49,202,990"
8/29/2022,129.9,131.95,128.77,129.79,"48,101,638"
8/26/2022,136.55,137.83,130.5,130.75,"53,322,663"
8/25/2022,135.26,137.42,134.28,137.28,"37,496,283"
8/24/2022,132.75,135.47,132.1,133.8,"38,626,978"
8/23/2022,133.41,134.99,132.95,133.62,"36,252,103"
8/22/2022,135.72,136.32,132.85,133.22,"50,461,504"
8/19/2022,140.47,141.11,137.91,138.23,"47,792,843"
8/18/2022,141.32,142.77,140.38,142.3,"37,458,737"
8/17/2022,142.69,143.38,140.78,142.1,"48,149,778"
8/16/2022,143.91,146.57,142,144.78,"59,102,859"
8/15/2022,142.8,143.76,141.49,143.18,"39,014,583"
8/12/2022,142.05,143.57,140.12,143.55,"47,643,484"
8/11/2022,143.86,144.49,139.76,140.64,"44,867,336"
8/10/2022,142.9,144.6,141.01,142.69,"54,773,819"
8/9/2022,138.05,138.95,136.21,137.83,"40,434,715"
8/8/2022,142.05,144.23,138.29,139.41,"52,303,475"
8/5/2022,140.1,142.86,139.6,140.8,"50,686,865"
8/4/2022,140.58,143.56,139.55,142.57,"70,585,020"
8/3/2022,136.21,140.49,136.05,139.52,"71,827,780"
8/2/2022,134.72,137.44,134.09,134.16,"61,922,429"
8/1/2022,134.96,138.83,133.51,135.39,"76,846,908"
7/29/2022,134.9,137.65,132.41,134.95,"148,892,889"
7/28/2022,121.57,122.84,118.08,122.28,"82,245,543"
7/27/2022,117.31,121.9,117.16,120.97,"61,582,015"
7/26/2022,115.79,118.15,114.53,114.81,"67,075,064"
7/25/2022,122.7,123.64,120.03,121.14,"50,221,259"
7/22/2022,125.01,125.5,121.35,122.42,"51,463,797"
7/21/2022,123.2,124.85,121.26,124.63,"60,239,892"
7/20/2022,118.62,123.48,118.32,122.77,"71,268,322"
7/19/2022,115.7,118.95,114.03,118.21,"60,990,043"
7/18/2022,115,117.24,113.15,113.76,"59,115,419"
7/15/2022,112.5,115.59,111.59,113.55,"84,317,816"
7/14/2022,110.24,111.18,107.58,110.63,"51,163,140"
7/13/2022,107.03,111.78,106.01,110.4,"61,353,812"
7/12/2022,112.16,113.23,108.34,109.22,"54,280,257"
7/11/2022,114.08,114.3,110.87,111.75,"53,540,019"
7/8/2022,114.6,116.58,113.69,115.54,"45,719,694"
7/7/2022,113.85,116.99,113.49,116.33,"57,872,323"
7/6/2022,113.21,115.48,112.01,114.33,"66,958,884"
7/5/2022,107.6,114.08,106.32,113.5,"76,684,414"
7/1/2022,106.29,109.75,105.85,109.56,"73,021,171"
6/30/2022,108.11,108.18,102.52,106.21,"97,679,401"
6/29/2022,107.38,110.99,106.91,108.92,"66,375,341"
6/28/2022,113.5,114.85,107.04,107.4,"75,172,028"
6/27/2022,117.09,117.98,112.7,113.22,"62,133,240"
6/24/2022,112.38,116.71,111.43,116.46,"69,867,618"
6/23/2022,110.39,113,107.93,112.44,"64,345,300"
6/22/2022,107.43,112.13,107.02,108.95,"60,040,131"
6/21/2022,108.2,111.63,103.56,108.68,"70,901,245"
6/17/2022,102.8,106.98,102.51,106.22,"99,772,147"
6/16/2022,104.47,104.58,102.01,103.66,"82,186,301"
6/15/2022,103.86,109.06,103.53,107.67,"85,011,060"
6/14/2022,104.19,104.88,101.43,102.31,"69,728,761"
6/13/2022,104.19,106.54,101.86,103.67,"99,277,742"
6/10/2022,113.42,114.5,109.05,109.65,"87,412,245"
6/9/2022,119.99,121.3,116.1,116.15,"67,029,842"
6/8/2022,122.61,123.75,120.75,121.18,"64,926,594"
6/7/2022,122.01,124.1,120.63,123,"85,156,712"
6/6/2022,125.25,128.99,123.81,124.79,"135,269,024"
6/3/2022,124.2,124.4,121.05,122.35,"97,603,320"
6/2/2022,121.68,125.61,120.05,125.51,"100,560,680"
6/1/2022,122.26,125.18,120.62,121.68,"127,528,980"
5/31/2022,116.28,121.99,115.68,120.21,"144,634,160"
5/27/2022,113.55,115.19,112.63,115.15,"93,660,160"
5/26/2022,107.97,112.67,107.45,111.08,"93,002,600"
5/25/2022,103.66,108.17,103.65,106.78,"93,120,100"
5/24/2022,104.03,105.4,101.26,104.1,"102,934,680"
5/23/2022,108.46,108.82,103.95,107.56,"107,797,360"
5/20/2022,109.57,109.9,105.01,107.59,"99,500,640"
5/19/2022,106.28,110.03,106.19,107.32,"88,142,540"
5/18/2022,111.44,112.85,106.25,107.11,"108,379,180"
5/17/2022,113.28,115.8,111.28,115.37,"76,447,740"
5/16/2022,113.1,113.99,110.35,110.81,"74,565,740"
5/13/2022,109.07,113.18,107.8,113.05,"93,684,560"
5/12/2022,102.75,110.78,102.41,106.93,"132,025,140"
5/11/2022,108.1,110.16,104.43,105.37,"109,703,640"
5/10/2022,111.25,112.64,107.17,108.86,"105,433,820"
5/9/2022,111.31,114,107.96,108.79,"128,124,380"
5/6/2022,114.85,119.05,113.08,114.77,"124,259,900"
5/5/2022,123,123.5,115.07,116.41,"144,391,220"
5/4/2022,123.6,126,119.18,125.93,"110,745,360"
5/3/2022,124.05,126.22,122.83,124.25,"79,133,360"
5/2/2022,122.4,124.67,118.38,124.5,"148,788,980"
4/29/2022,129.85,130.76,121.63,124.28,"272,661,720"
4/28/2022,142.18,145.94,140.3,144.6,"117,316,940"
4/27/2022,140.19,141.95,135.78,138.17,"71,336,300"
4/26/2022,144.8,144.86,138.93,139.39,"77,529,160"
4/25/2022,144.02,146.22,142.31,146.07,"61,874,980"
4/22/2022,148.25,149.62,143.7,144.35,"73,078,580"
4/21/2022,154.71,156.74,147.59,148.3,"63,969,320"
4/20/2022,157.6,157.6,153.6,154,"59,630,020"
4/19/2022,152.03,158.65,151.55,158.12,"54,926,420"
4/18/2022,151.52,154.04,150.25,152.79,"46,513,520"
4/14/2022,155.39,155.9,151.47,151.71,"51,598,140"
4/13/2022,150.02,156.03,149.6,155.54,"53,390,880"
4/12/2022,153.69,155.1,150.38,150.79,"55,177,440"
4/11/2022,152.71,154.14,150.53,151.12,"52,112,340"
4/8/2022,156.75,157.37,154.23,154.46,"46,001,660"
4/7/2022,158.4,160.08,154.51,157.78,"68,136,780"
4/6/2022,161.65,162.2,157.25,158.76,"79,055,760"
4/5/2022,167.74,168.11,163.27,164.06,"53,728,560"
4/4/2022,164.13,168.39,163.21,168.35,"50,007,960"
4/1/2022,164.15,165.83,162.32,163.56,"57,089,500"
3/31/2022,166.44,166.5,162.95,163,"59,965,780"
3/30/2022,168.51,168.95,165.5,166.3,"56,167,260"
3/29/2022,170.38,170.83,167.87,169.32,"66,153,600"
3/28/2022,164.98,169.04,164.9,168.99,"59,853,820"
3/25/2022,164,165.37,162.25,164.77,"49,085,500"
3/24/2022,163.75,164.12,160.05,163.65,"56,798,060"
3/23/2022,163.7,166.37,162.69,163.41,"55,811,860"
3/22/2022,161.81,166.17,161.7,164.89,"64,086,120"
3/21/2022,161.12,163.08,159.55,161.49,"66,537,520"
3/18/2022,156.81,161.59,156.01,161.25,"102,962,760"
3/17/2022,152.64,157.5,152.14,157.24,"72,934,840"
3/16/2022,148.5,153.15,147.35,153.1,"84,957,680"
3/15/2022,142.85,147.98,142,147.37,"75,584,600"
3/14/2022,145.98,147.45,140.88,141.85,"74,086,100"
3/11/2022,149.57,149.68,145.37,145.52,"68,900,560"
3/10/2022,145.69,148.67,143.98,146.82,"135,062,900"
3/9/2022,139.5,140.25,136.83,139.28,"82,656,660"
3/8/2022,136.68,140.7,133.57,136.01,"91,662,580"
3/7/2022,145.44,146.09,137.42,137.45,"86,933,860"
3/4/2022,147.16,147.85,143.81,145.64,"60,983,120"
3/3/2022,153.53,153.93,146.86,147.9,"65,197,200"
3/2/2022,150.85,153,148.75,152.05,"47,334,720"
3/1/2022,152.73,154.1,149.98,151.14,"44,873,580"
2/28/2022,152.43,154.45,150.85,153.56,"57,683,420"
2/25/2022,150.55,153.99,149.21,153.79,"62,395,360"
2/24/2022,139.84,151.75,139.5,151.36,"100,785,760"
2/23/2022,151.65,151.76,144.65,144.83,"64,243,560"
2/22/2022,150.48,152.98,148.49,150.2,"66,128,240"
2/18/2022,155.5,155.5,150.89,152.6,"63,604,100"
2/17/2022,158.15,160.35,154.5,154.65,"64,032,500"
2/16/2022,155.79,158.83,154.73,158.1,"52,704,280"
2/15/2022,157.61,158.01,154.64,156.51,"56,970,660"
2/14/2022,151.75,158.45,151.65,155.17,"83,230,700"
2/11/2022,158.13,159,152.73,153.29,"77,100,440"
2/10/2022,158.35,160.72,157.75,159,"68,268,120"
2/9/2022,162.87,163.83,160.25,161.19,"68,785,600"
2/8/2022,156.75,161.79,155.55,161.41,"76,040,360"
2/7/2022,158.52,162.69,157.25,157.94,"102,624,380"
2/4/2022,155.61,161.2,150.61,157.64,"253,455,860"
2/3/2022,141.74,144.25,138.33,138.85,"225,531,360"
2/2/2022,155.05,155.08,148.86,150.61,"87,329,760"
2/1/2022,150,151.71,147.63,151.19,"59,219,840"
1/31/2022,144.75,150.36,144.3,149.57,"78,307,440"
1/28/2022,140.86,144,137.93,143.98,"74,391,980"
1/27/2022,140.8,144.24,139.35,139.64,"77,515,800"
1/26/2022,144.75,145.18,137.32,138.87,"95,601,700"
1/25/2022,142.24,143.6,138.15,139.99,"90,824,660"
1/24/2022,139,144.95,135.35,144.54,"156,044,740"
1/21/2022,149.95,150.9,142.07,142.64,"163,971,440"
1/20/2022,156.77,158,151.35,151.67,"71,973,320"
1/19/2022,158.76,159.25,156.25,156.3,"53,241,920"
1/18/2022,159.11,159.73,157.66,158.92,"67,441,440"
1/14/2022,160.15,162.25,159.8,162.14,"45,974,860"
1/13/2022,165.25,166.22,161.09,161.21,"52,188,300"
1/12/2022,166.58,166.88,164.42,165.21,"50,029,120"
1/11/2022,161.5,166.35,160.7,165.36,"62,805,580"
1/10/2022,160.59,161.66,156.3,161.49,"87,798,300"
1/7/2022,163.84,165.24,162.03,162.55,"46,605,900"
1/6/2022,163.45,164.8,161.94,163.25,"51,957,780"
1/5/2022,166.88,167.13,164.36,164.36,"64,302,720"
1/4/2022,170.44,171.4,166.35,167.52,"70,725,160"
1/3/2022,167.55,170.7,166.16,170.4,"63,869,140"
12/31/2021,168.96,169.35,166.56,166.72,"47,830,380"
12/30/2021,169.7,170.89,168.52,168.64,"37,583,100"
12/29/2021,170.84,171.21,168.6,169.2,"35,754,040"
12/28/2021,170.18,172.18,169.14,170.66,"54,711,860"
12/27/2021,171.04,172.94,169.22,169.67,"58,846,820"
12/23/2021,170.43,171.98,170.15,171.07,"36,788,240"
12/22/2021,169.27,172.05,168.5,171.04,"55,035,460"
12/21/2021,167.85,170.72,165.65,170.42,"55,955,820"
12/20/2021,166.85,167.87,165.6,167.08,"57,372,660"
12/17/2021,167.71,170.9,165.61,170.02,"85,755,160"
12/16/2021,173.37,174.17,168.16,168.87,"60,876,840"
12/15/2021,168.6,173.6,165.2,173.32,"75,794,260"
12/14/2021,167.55,169.5,166.44,169.09,"55,975,280"
12/13/2021,172,172.1,169.13,169.57,"62,169,000"
12/10/2021,175.42,175.93,170.5,172.21,"60,689,760"
12/9/2021,175.75,176.97,174.14,174.17,"46,061,820"
12/8/2021,176.15,177.18,174.75,176.16,"45,253,660"
12/7/2021,174.6,177.5,173.33,176.16,"66,410,720"
12/6/2021,169.65,173.7,166.93,171.37,"68,860,000"
12/3/2021,172.75,173.49,166.93,169.49,"80,711,000"
12/2/2021,173,174.64,171.19,171.87,"64,725,760"
12/1/2021,177.25,177.99,172.08,172.19,"75,139,900"
11/30/2021,178.18,179.29,174.6,175.35,"80,022,140"
11/29/2021,177.38,179.8,176.58,178.08,"65,311,140"
11/26/2021,180.1,181.68,175.21,175.23,"59,825,940"
11/24/2021,178.13,180.68,176.84,179.02,"46,560,360"
11/23/2021,179.25,181.05,176.39,179,"73,844,920"
11/22/2021,183.82,185.67,178.38,178.63,"96,957,000"
11/19/2021,185.63,188.11,183.79,183.83,"98,924,060"
11/18/2021,178.32,185.21,178.05,184.8,"114,070,760"
11/17/2021,178.24,179.36,177.27,177.45,"51,205,400"
11/16/2021,176.95,178.83,176.26,177.04,"44,341,420"
11/15/2021,176.85,179.69,176.29,177.28,"58,594,380"
11/12/2021,174.25,177.04,172.35,176.26,"53,788,680"
11/11/2021,175.65,177.16,173.37,173.63,"45,288,120"
11/10/2021,178.19,180.27,173.15,174.1,"80,548,440"
11/9/2021,175.76,179.69,175.07,178.81,"85,898,440"
11/8/2021,176.16,178.95,174.39,174.45,"61,479,840"
11/5/2021,173.85,178.31,173.85,175.95,"99,939,020"
11/4/2021,168.5,174.93,168.25,173.85,"107,060,400"
11/3/2021,165.45,169.75,164.88,169.2,"67,943,780"
11/2/2021,165.75,166.56,164.18,165.64,"52,551,800"
11/1/2021,168.09,168.79,164.6,165.91,"72,177,580"
10/29/2021,165,168.74,163.67,168.62,"129,721,540"
10/28/2021,170.1,173.95,169.3,172.33,"114,174,660"
10/27/2021,169.4,171.85,168.57,169.62,"54,044,480"
10/26/2021,167.48,170.81,167.2,168.8,"53,966,840"
10/25/2021,166.75,167.39,164.89,166.02,"44,519,120"
10/22/2021,171.05,171.49,166.57,166.78,"62,781,060"
10/21/2021,170.71,172.01,170.15,171.75,"37,627,700"
10/20/2021,172.63,173.14,170.02,170.75,"42,795,540"
10/19/2021,171.71,172.73,171.1,172.21,"47,721,580"
10/18/2021,169.42,172.46,169.26,172.34,"63,482,300"
10/15/2021,165.57,170.52,165.2,170.45,"103,598,820"
10/14/2021,165.12,165.63,164.54,164.99,"42,240,400"
10/13/2021,163.49,164.42,163.05,164.21,"48,501,720"
10/12/2021,162.85,163.38,161.81,162.37,"36,391,420"
10/11/2021,163.75,164.63,161.91,162.32,"40,684,060"
10/8/2021,165.85,166.07,164.41,164.43,"39,964,340"
10/7/2021,164.58,166.29,164.15,165.12,"48,181,500"
10/6/2021,160.68,163.22,159.93,163.1,"50,659,540"
10/5/2021,160.23,163.04,160.12,161.05,"65,384,160"
10/4/2021,163.97,164,158.81,159.49,"90,461,140"
10/1/2021,164.45,165.46,162.8,164.16,"56,712,340"
9/30/2021,165.8,166.39,163.7,164.25,"56,940,660"
9/29/2021,166.11,167.57,164.89,165.06,"51,245,360"
9/28/2021,167.89,168.46,164.51,165.8,"88,616,380"
9/27/2021,168.58,170.78,166.98,170.29,"72,689,000"
9/24/2021,170.1,171.46,169.67,171.28,"42,324,820"
9/23/2021,169,171.45,169,170.8,"47,588,280"
9/22/2021,167.55,169.45,167.05,169,"48,228,060"
9/21/2021,168.75,168.98,166.62,167.18,"55,617,560"
9/20/2021,169.8,170.95,165.25,167.79,"93,382,600"
9/17/2021,174.42,174.87,172.61,173.13,"92,331,120"
9/16/2021,173,174.63,172.31,174.41,"51,671,960"
9/15/2021,172.13,174.27,170.1,173.79,"59,150,740"
9/14/2021,173.78,174.34,171.89,172.5,"38,737,940"
9/13/2021,174.14,174.9,171.9,172.86,"51,380,440"
9/10/2021,175.09,175.42,173.15,173.46,"47,945,380"
9/9/2021,176.3,177.5,174.02,174.21,"54,384,820"
9/8/2021,175.58,177.28,174.78,176.28,"61,067,280"
9/7/2021,173.9,176.4,173.85,175.46,"54,823,680"
9/3/2021,172.6,174.13,171.82,173.9,"51,566,480"
9/2/2021,174.74,175.6,172.75,173.16,"58,511,880"
9/1/2021,174.82,176.35,173.76,173.95,"72,598,220"
8/31/2021,171.24,173.63,169.78,173.54,"87,128,260"
8/30/2021,167.87,172.25,167.76,171.08,"63,844,880"
8/27/2021,166.66,167.62,165.69,167.48,"48,047,380"
8/26/2021,164.95,166.6,164.8,165.8,"41,975,220"
8/25/2021,165.49,166.05,164.31,164.96,"33,606,120"
8/24/2021,164,165.77,163.73,165.29,"51,036,820"
8/23/2021,160.6,164.05,160.5,163.29,"65,362,620"
8/20/2021,160.19,160.39,158.79,160,"67,168,560"
8/19/2021,159.7,161.65,159.12,159.39,"75,657,240"
8/18/2021,162.1,162.7,160,160.06,"56,086,220"
8/17/2021,163.88,164.02,161.28,162.1,"67,758,440"
8/16/2021,164.15,165,160.56,164.95,"66,569,880"
8/13/2021,165.28,165.3,164.15,164.7,"41,133,980"
8/12/2021,164.5,165.73,163.48,165.18,"46,476,460"
8/11/2021,166.57,166.89,163.89,164.61,"58,944,980"
8/10/2021,167.25,167.9,165.75,166.03,"48,251,020"
8/9/2021,167.18,167.74,166.43,167.09,"42,964,400"
8/6/2021,168.75,168.75,166.45,167.25,"52,752,880"
8/5/2021,167.81,169.45,167.05,168.8,"48,670,060"
8/4/2021,168.97,169.44,167.28,167.74,"43,678,900"
8/3/2021,167.04,169.55,164.99,168.31,"83,146,860"
8/2/2021,167.66,167.95,165.85,166.57,"67,078,300"
7/30/2021,167.4,168.41,165.35,166.38,"199,311,860"
7/29/2021,181.39,181.9,179,180,"110,399,040"
7/28/2021,181.69,182.92,180.05,181.52,"59,987,560"
7/27/2021,184.93,184.93,179.31,181.32,"82,637,800"
7/26/2021,183.66,185.6,182.36,184.99,"58,001,360"
7/23/2021,182,183.31,181.1,182.83,"48,725,840"
7/22/2021,179.36,182,179.11,181.9,"65,307,040"
7/21/2021,178.82,179.32,177.18,179.26,"46,379,780"
7/20/2021,178.37,179.6,175.9,178.66,"65,113,600"
7/19/2021,176.63,177.51,174.96,177.48,"75,691,900"
7/16/2021,181.67,182.3,178.52,178.68,"80,874,120"
7/15/2021,184.71,184.77,181.05,181.56,"63,705,840"
7/14/2021,185.44,185.88,183.04,184.08,"65,931,360"
7/13/2021,185.11,188.65,183.57,183.87,"76,918,340"
7/12/2021,187.2,187.86,184.84,185.93,"51,432,700"
7/9/2021,186.13,187.4,184.67,185.97,"74,964,740"
7/8/2021,182.18,188,181.06,186.57,"103,612,460"
7/7/2021,185.87,186.71,183.95,184.83,"106,561,240"
7/6/2021,176.51,184.27,176.45,183.79,"134,895,360"
7/2/2021,172.58,175.59,171.85,175.55,"63,533,940"
7/1/2021,171.73,172.85,170.47,171.65,"40,741,060"
6/30/2021,172.05,173.58,171.75,172.01,"48,079,840"
6/29/2021,171.94,172.8,171.15,172.41,"41,968,780"
6/28/2021,170.8,172.4,170.68,172.19,"44,855,860"
6/25/2021,173.2,173.24,169.71,170.07,"78,819,940"
6/24/2021,175.38,176.24,171.54,172.45,"76,639,980"
6/23/2021,175.25,176.05,174.16,175.19,"56,266,820"
6/22/2021,172.9,176.19,172.8,175.27,"66,901,640"
6/21/2021,173.82,174.1,171.7,172.7,"65,542,600"
6/18/2021,174,175.35,173.69,174.35,"104,954,740"
6/17/2021,170.16,174.86,170.05,174.46,"102,730,620"
6/16/2021,169.6,171.32,168.03,170.76,"84,055,640"
6/15/2021,169.2,169.85,168.16,169.16,"48,524,000"
6/14/2021,167.34,169.25,166.78,169.19,"51,393,100"
6/11/2021,167.48,168.33,166.67,167.34,"56,347,040"
6/10/2021,164.1,167.55,164.06,167.48,"69,529,600"
6/9/2021,163.64,164.88,163.54,164.06,"49,110,600"
6/8/2021,161.13,163.98,160.9,163.21,"68,334,600"
6/7/2021,159.87,160.4,158.61,159.9,"44,315,120"
6/4/2021,160.6,161.05,159.94,160.31,"44,994,980"
6/3/2021,160.21,160.72,159.2,159.35,"47,965,860"
6/2/2021,161.16,161.75,160.4,161.7,"40,290,480"
6/1/2021,162.17,162.55,160.45,160.93,"48,600,900"
5/28/2021,162.1,162.4,160.98,161.15,"46,630,180"
5/27/2021,162.8,163.02,161.5,161.51,"51,223,140"
5/26/2021,163.73,164.79,162.93,163.26,"47,679,720"
5/25/2021,163.33,163.99,160.69,162.95,"65,222,180"
5/24/2021,160.78,162.9,160.52,162.25,"48,456,260"
5/21/2021,162.5,162.83,159.85,160.15,"82,097,640"
5/20/2021,162.22,162.98,161.81,162.38,"52,663,840"
5/19/2021,159.75,161.74,159.2,161.59,"53,594,160"
5/18/2021,164.63,165.6,161.52,161.61,"56,567,820"
5/17/2021,162.3,164.64,161.73,163.52,"74,478,500"
5/14/2021,159.28,161.44,159.15,161.15,"66,500,440"
5/13/2021,159.27,160.19,156.65,158.07,"67,137,540"
5/12/2021,159.25,160.4,156.66,157.6,"98,728,200"
5/11/2021,156.81,161.9,156.37,161.2,"92,395,620"
5/10/2021,164.12,164.15,159.5,159.52,"116,772,060"
5/7/2021,165.95,166.54,164.45,164.58,"94,205,520"
5/6/2021,163.5,165.72,162.36,165.32,"88,953,920"
5/5/2021,166.94,167.73,163.22,163.53,"74,226,160"
5/4/2021,167.81,168.4,163.61,165.59,"108,788,980"
5/3/2021,174.24,174.33,168.64,169.32,"117,510,600"
4/30/2021,176.26,177.7,173.13,173.37,"140,186,920"
4/29/2021,175.25,175.72,171.75,173.57,"153,647,620"
4/28/2021,171.74,174.49,171.25,172.93,"92,637,680"
4/27/2021,172.17,173,169.9,170.87,"76,542,800"
4/26/2021,167.4,171.42,166.55,170.45,"97,614,160"
4/23/2021,165.95,168.75,165.43,167.04,"63,933,040"
4/22/2021,168.58,168.64,165.07,165.45,"51,611,800"
4/21/2021,165.8,168.14,165.19,168.1,"44,223,320"
4/20/2021,168.68,169.15,165.8,166.73,"52,460,640"
4/19/2021,169.52,171.8,168.01,168.6,"54,508,100"
4/16/2021,169,170.34,167.78,169.97,"63,720,980"
4/15/2021,168.55,169.85,167.6,168.95,"64,671,600"
4/14/2021,170.2,170.21,166.3,166.65,"62,904,080"
4/13/2021,170.04,171.6,169.78,170,"66,316,740"
4/12/2021,167.76,169.75,167.56,168.97,"65,635,960"
4/9/2021,165.23,168.61,164.45,168.61,"86,829,460"
4/8/2021,165.55,166.23,164.6,164.97,"56,241,800"
4/7/2021,161.69,165.18,161.18,163.97,"66,924,540"
4/6/2021,161.19,162.37,160.85,161.19,"50,756,180"
4/5/2021,158.65,161.8,158.06,161.34,"66,697,640"
4/1/2021,155.9,158.12,155.78,158.05,"58,806,360"
3/31/2021,153.2,155.97,153.13,154.7,"61,877,920"
3/30/2021,153.5,153.65,151.7,152.76,"46,752,060"
3/29/2021,152.77,154.56,151.42,153.79,"54,919,360"
3/26/2021,152.2,152.83,149.8,152.6,"66,258,480"
3/25/2021,153.65,155.49,151.86,152.31,"71,269,380"
3/24/2021,157.55,158.02,154.26,154.35,"59,179,620"
3/23/2021,156.35,159.1,156.04,156.88,"76,345,260"
3/22/2021,153.39,156.33,153,155.54,"58,043,580"
3/19/2021,151.46,153.86,150.83,153.75,"92,507,080"
3/18/2021,155.05,155.83,151.25,151.4,"73,140,540"
3/17/2021,153.66,158.65,153.51,156.79,"62,371,680"
3/16/2021,155.25,156.45,153.79,154.59,"50,775,280"
