,AMD (NASD),,,,
Date,Open,High,Low,Close,Volume
8/31/2023,106.19,108.06,104.86,105.72,"58,918,970"
8/30/2023,105.4,107.67,104.5,106.59,"54,847,348"
8/29/2023,102.11,106.57,101.79,105.92,"50,850,289"
8/28/2023,103.47,104.07,100.89,102.61,"55,386,803"
8/25/2023,101.17,104.12,99.58,102.25,"74,793,086"
8/24/2023,111.06,111.64,100.87,101.8,"109,179,129"
8/23/2023,105.65,110.08,105,109.43,"54,656,329"
8/22/2023,109.4,109.72,104.85,105.66,"47,335,086"
8/21/2023,106.2,108.54,105.67,108.22,"49,319,240"
8/18/2023,102.4,106.07,101.68,105.45,"59,916,675"
8/17/2023,107.62,107.85,104.1,104.44,"59,064,275"
8/16/2023,110.09,110.44,106.98,107.19,"54,327,298"
8/15/2023,111.99,113.18,110.17,111.35,"53,816,569"
8/14/2023,106.75,111.99,105.42,111.98,"57,421,820"
8/11/2023,108.85,109.07,106.48,107.57,"55,667,745"
8/10/2023,111.3,113.89,109.47,110.23,"57,297,792"
8/9/2023,112.89,113.15,108.78,110.47,"56,257,067"
8/8/2023,114.94,115.46,111.41,113.23,"54,141,829"
8/7/2023,116.36,119.08,115.49,116.81,"65,854,765"
8/4/2023,114.48,118.85,113.96,115.82,"83,169,686"
8/3/2023,108.95,114.96,108.95,113.15,"90,811,558"
8/2/2023,119.49,119.5,107.38,109.35,"173,372,010"
8/1/2023,114.26,118.19,113.16,117.6,"97,284,727"
7/31/2023,114.16,114.68,112.35,114.4,"54,187,286"
7/28/2023,113.38,114.86,112.44,112.96,"55,525,965"
7/27/2023,111.79,115.08,110.51,111.1,"70,677,972"
7/26/2023,111.91,112.36,109.3,110.09,"51,721,689"
7/25/2023,111.14,114.05,111,113,"44,916,262"
7/24/2023,110.62,111.31,108.55,110.61,"45,637,998"
7/21/2023,110.97,112.3,109.54,110.95,"76,815,378"
7/20/2023,114.96,115.05,109.24,110.25,"76,340,398"
7/19/2023,121.3,121.67,115.55,116.43,"70,363,051"
7/18/2023,117.55,118.43,115.19,117.93,"57,980,077"
7/17/2023,115.95,118.84,112.73,118.32,"68,593,288"
7/14/2023,116.17,122.12,115.25,115.94,"91,927,197"
7/13/2023,115.76,116.16,113.58,115.92,"49,206,695"
7/12/2023,112.89,115.4,112.31,114.58,"57,993,090"
7/11/2023,111.66,113.27,109.5,111.32,"59,899,536"
7/10/2023,113,113.61,109.88,113.58,"49,330,204"
7/7/2023,114.16,115.33,113.04,113.17,"37,211,287"
7/6/2023,112.07,113.79,110.31,113.48,"42,411,840"
7/5/2023,116.1,117.66,113.86,113.95,"49,501,584"
7/3/2023,115.16,116.73,114.51,115.82,"31,859,976"
6/30/2023,113.03,114.69,112.41,113.91,"53,378,774"
6/29/2023,112.07,112.76,109.84,111.24,"58,347,174"
6/28/2023,108.21,111.78,107.63,110.17,"67,534,134"
6/27/2023,108.57,110.97,107.08,110.39,"59,381,646"
6/26/2023,110.95,112.55,107.2,107.51,"68,556,976"
6/23/2023,109.31,111.1,107.46,110.01,"73,621,951"
6/22/2023,112.24,114,109.85,110.7,"70,754,783"
6/21/2023,118.49,119.19,111.67,112.11,"82,835,622"
6/20/2023,119.09,121.75,117.7,118.93,"58,851,777"
6/16/2023,125.82,125.85,119.9,120.08,"82,007,083"
6/15/2023,125.39,125.7,122.26,124.24,"85,587,115"
6/14/2023,126.53,127.73,123.81,127.33,"95,888,117"
6/13/2023,132.32,132.83,122.45,124.53,"132,461,926"
6/12/2023,128.52,130.48,126.4,129.19,"85,673,077"
6/9/2023,123.57,127.25,123.55,124.92,"75,105,039"
6/8/2023,118.3,122.21,117.05,121.05,"65,246,930"
6/7/2023,124.03,125.34,117.07,117.83,"81,755,152"
6/6/2023,117.91,124.42,117.74,124.23,"75,257,497"
6/5/2023,116.59,119.32,116.42,117.93,"52,602,861"
6/2/2023,120.75,121.66,117.68,117.86,"52,382,424"
6/1/2023,117.29,121.28,116.6,119.47,"66,032,924"
5/31/2023,122.42,123.96,117.86,118.21,"87,552,221"
5/30/2023,130.42,130.79,123.51,125.27,"98,902,282"
5/26/2023,122.46,127.43,120.89,127.03,"92,922,750"
5/25/2023,117.31,120.69,115.8,120.35,"108,514,669"
5/24/2023,105.98,108.91,105.64,108.27,"65,910,464"
5/23/2023,107.25,110.99,107.19,108.12,"73,099,114"
5/22/2023,104.68,108.79,103.49,108,"65,424,234"
5/19/2023,106.36,107.29,104.62,105.82,"67,880,217"
5/18/2023,103.98,108.1,103.93,107.93,"74,338,722"
5/17/2023,101.79,104.14,100.05,103.75,"75,240,894"
5/16/2023,97.39,103.28,97.31,101.48,"90,622,884"
5/15/2023,95.2,97.43,93.45,97.4,"51,749,212"
5/12/2023,96.83,97.45,93.68,95.26,"53,829,709"
5/11/2023,98.16,99.19,96.14,97.1,"57,061,034"
5/10/2023,96.42,99.94,96.12,97.02,"95,619,496"
5/9/2023,94.89,96.16,93.43,95.06,"68,674,788"
5/8/2023,89.99,95.66,89.17,95.04,"95,503,215"
5/5/2023,84.99,90.43,84.72,89.84,"78,491,108"
5/4/2023,81.57,91.64,81.11,86.61,"122,840,488"
5/3/2023,83.54,85.48,81.02,81.62,"109,482,172"
5/2/2023,89.32,90.46,88.12,89.91,"70,483,508"
5/1/2023,91.03,91.04,88.61,89.69,"59,358,710"
4/28/2023,87.02,89.75,86.44,89.37,"50,686,053"
4/27/2023,86.41,87.57,84.09,87.44,"53,087,213"
4/26/2023,86.51,87.35,85.32,85.94,"47,786,564"
4/25/2023,86.9,87.06,83.76,83.8,"52,771,477"
4/24/2023,88.11,88.64,86.34,87.57,"40,423,789"
4/21/2023,89.8,89.8,88.06,88.43,"41,118,264"
4/20/2023,88.83,91.58,88.73,90.11,"47,082,684"
4/19/2023,88.51,90.54,88.22,89.94,"37,344,502"
4/18/2023,91.61,92.16,89.33,89.78,"46,246,286"
4/17/2023,90.23,90.69,88.3,89.87,"47,250,782"
4/14/2023,91.82,92.97,90.5,91.75,"38,734,794"
4/13/2023,92.79,93.16,91.83,92.09,"40,572,482"
4/12/2023,94.97,95,91.74,92.33,"53,383,124"
4/11/2023,96.06,96.07,92.69,94.03,"51,935,800"
4/10/2023,91.32,95.8,91.02,95.48,"52,536,324"
4/6/2023,91.47,92.91,90.62,92.47,"47,778,378"
4/5/2023,94.35,94.5,91.36,92.56,"52,979,281"
4/4/2023,97.04,97.27,95.21,95.87,"43,195,876"
4/3/2023,96.7,96.79,94.81,96.56,"50,655,332"
3/31/2023,96.34,98.36,95.27,98.01,"55,861,066"
3/30/2023,98,99.53,97.25,97.88,"59,678,531"
3/29/2023,96.07,96.91,94.87,96.09,"55,325,974"
3/28/2023,96.77,96.94,92.87,94.56,"59,150,100"
3/27/2023,98.02,98.93,95.43,96.61,"57,461,354"
3/24/2023,99.18,99.52,96.74,97.95,"64,743,698"
3/23/2023,100.05,102.43,98.67,100.28,"84,088,899"
3/22/2023,95.65,101.7,95.64,97.58,"110,816,317"
3/21/2023,97,99.46,93.64,95.93,"85,285,333"
3/20/2023,96.3,96.94,92.9,96.81,"92,008,949"
3/17/2023,96.66,98.75,95.94,97.84,"94,080,842"
3/16/2023,89.72,96.69,89.02,96.6,"115,980,649"
3/15/2023,86.77,90.42,86.22,89.68,"86,177,424"
3/14/2023,83.67,88.3,83.59,87.45,"66,616,320"
3/13/2023,81.39,83.83,78.52,82.01,"65,269,120"
3/10/2023,84.47,85.45,81.63,82.67,"70,273,562"
3/9/2023,85.29,87.81,83.59,84.03,"79,496,691"
3/8/2023,82.79,85.77,82.28,85.37,"69,529,838"
3/7/2023,81.07,84.85,80.67,82.11,"70,959,009"
3/6/2023,82.03,83.3,81.04,81.16,"54,541,281"
3/3/2023,80.4,81.63,79.34,81.52,"54,536,217"
3/2/2023,77.57,80.92,76.65,80.44,"60,185,875"
3/1/2023,78.55,80.29,77.88,78.29,"44,265,984"
2/28/2023,77.87,80.14,77.42,78.58,"44,220,135"
2/27/2023,79.64,80.12,78.53,78.77,"45,617,297"
2/24/2023,77.75,78.81,76.94,78.09,"46,700,007"
2/23/2023,80.63,81.79,77.97,79.75,"76,391,342"
2/22/2023,76.93,78.13,75.92,76.61,"50,286,804"
2/21/2023,77.15,78.46,76.45,76.77,"44,045,643"
2/17/2023,79.6,79.65,77.37,78.5,"47,826,602"
2/16/2023,82.98,83.35,80.05,80.08,"57,755,166"
2/15/2023,85.1,85.89,83.32,85.18,"46,483,152"
2/14/2023,82.7,86.19,81.77,85.95,"55,979,653"
2/13/2023,81.57,84.15,80.9,83.13,"45,400,008"
2/10/2023,82.29,82.71,80.47,81.48,"49,332,598"
2/9/2023,85.88,86.67,82.76,83.21,"46,525,397"
2/8/2023,85.88,88,84.54,84.69,"54,140,448"
2/7/2023,84.32,86.25,82.52,85.91,"65,291,914"
2/6/2023,84.63,86.28,83.22,83.68,"53,008,890"
2/3/2023,86.66,88.8,85.83,86.09,"66,557,818"
2/2/2023,84.29,88.94,83.2,88.31,"97,762,091"
2/1/2023,78.47,85.48,77.88,84.64,"152,548,240"
1/31/2023,72.26,75.2,72.03,75.15,"71,669,107"
1/30/2023,74.23,74.64,72.4,72.45,"48,105,243"
1/27/2023,73.7,76.74,73.49,75.4,"58,118,610"
1/26/2023,76.5,77.08,74.28,75.16,"49,583,948"
1/25/2023,72.9,75.12,72.09,74.91,"49,932,595"
1/24/2023,73.75,75.64,73.42,74.7,"60,822,606"
1/23/2023,72.23,76.59,71.54,76.53,"84,293,199"
1/20/2023,68.01,70.13,67.45,70.07,"47,757,593"
1/19/2023,68.98,69.25,67.27,67.71,"47,189,852"
1/18/2023,71.87,72.78,70.5,70.53,"39,538,725"
1/17/2023,70.87,72.66,70.65,71.59,"42,621,340"
1/13/2023,69.84,71.1,69.23,71,"45,757,358"
1/12/2023,70.07,71.65,67.18,70.8,"70,066,161"
1/11/2023,68.39,69.13,67.22,69.06,"44,470,060"
1/10/2023,66.67,68.15,66.56,68.05,"41,149,630"
1/9/2023,66.22,69.32,65.67,67.24,"69,741,257"
1/6/2023,63.15,64.3,60.05,63.96,"70,161,340"
1/5/2023,64.15,64.35,62.3,62.33,"46,159,549"
1/4/2023,65,65.79,63.31,64.66,"47,477,139"
1/3/2023,66,66.88,63.59,64.02,"46,851,844"
12/30/2022,63.77,64.82,63.14,64.77,"37,126,975"
12/29/2022,63.64,65.18,63.06,64.82,"41,428,481"
12/28/2022,62.54,63.54,61.96,62.57,"39,526,483"
12/27/2022,63.87,64.28,62.97,63.27,"36,085,981"
12/23/2022,63.11,64.66,62.72,64.52,"45,923,000"
12/22/2022,66.08,66.31,62.26,63.86,"73,917,667"
12/21/2022,65.43,67.85,65.21,67.68,"44,167,575"
12/20/2022,63.76,66.06,63.52,65.05,"52,431,257"
12/19/2022,65.12,65.59,63.71,64.59,"46,246,911"
12/16/2022,66.25,67.19,64.8,65.41,"62,438,574"
12/15/2022,67.6,68.21,66.12,66.53,"58,557,045"
12/14/2022,70.93,72,68.32,68.93,"67,277,981"
12/13/2022,74.87,75.21,70.66,71.65,"72,458,043"
12/12/2022,68.54,70.67,67.53,70.67,"60,968,341"
12/9/2022,69.49,70.67,68.52,68.59,"59,058,319"
12/8/2022,70.14,71.23,69,70.47,"56,734,096"
12/7/2022,69.53,71.37,69.28,70.14,"59,180,109"
12/6/2022,73.08,73.39,69.4,70.27,"64,965,235"
12/5/2022,74.54,75.17,72.82,73.62,"47,022,185"
12/2/2022,75.05,76.28,73.65,74.98,"64,377,175"
12/1/2022,78.31,79.23,76.44,77.48,"59,833,354"
11/30/2022,73.38,77.7,72.81,77.63,"88,468,439"
11/29/2022,73.62,74.49,72.78,73.39,"51,846,449"
11/28/2022,73.81,75.47,72.57,73.19,"45,448,323"
11/25/2022,75.67,76.04,74.75,75.14,"26,018,911"
11/23/2022,75.49,78.22,75.3,76.4,"81,623,628"
11/22/2022,72.72,75.33,72.11,75.25,"55,450,160"
11/21/2022,72.21,72.98,71.57,72.46,"51,536,349"
11/18/2022,75.07,75.35,72.18,73.57,"73,223,214"
11/17/2022,70.56,74.38,70.16,73.9,"82,320,829"
11/16/2022,73.66,74.83,71.93,72.7,"79,967,998"
11/15/2022,77.26,79.16,75.39,76.37,"108,946,318"
11/14/2022,75.22,75.25,72.67,73.53,"108,892,750"
11/11/2022,69.58,73.32,68.29,72.37,"111,709,462"
11/10/2022,64.3,68.8,63.62,68.47,"107,996,331"
11/9/2022,62.28,63.05,59.8,59.92,"62,940,338"
11/8/2022,64.09,64.96,62.37,63.85,"75,938,045"
11/7/2022,62.93,63.53,61.4,63.08,"62,722,498"
11/4/2022,62.5,63,60.53,62.19,"84,791,349"
11/3/2022,58.11,62.28,58.03,60.11,"95,279,891"
11/2/2022,63,63.93,58.57,58.63,"142,669,440"
11/1/2022,61.49,61.99,59.43,59.66,"83,806,667"
10/31/2022,60.75,61.86,59.53,60.06,"73,274,137"
10/28/2022,59.1,62.35,58.92,62.01,"78,198,605"
10/27/2022,61.6,62.72,58.51,58.6,"83,871,440"
10/26/2022,59.69,61.77,59.15,59.73,"79,915,891"
10/25/2022,58.77,61.98,58.69,61.47,"85,501,881"
10/24/2022,58.57,59,56.66,58.7,"76,305,381"
10/21/2022,57.22,58.91,55.71,58.82,"95,366,369"
10/20/2022,57.47,60.2,57.4,57.77,"79,552,604"
10/19/2022,57.33,59.04,56.57,57.23,"75,704,837"
10/18/2022,59.91,60.49,56.4,57.92,"103,064,529"
10/17/2022,57.35,58.51,57.1,57.96,"76,977,604"
10/14/2022,59.6,59.94,55.84,55.94,"96,959,299"
10/13/2022,55.52,60.14,54.57,58.94,"131,159,784"
10/12/2022,57.45,58.32,56.32,57.85,"89,264,184"
10/11/2022,57.21,58.92,56.05,57.63,"114,054,838"
10/10/2022,57.31,58.79,56.3,57.81,"112,241,785"
10/7/2022,64.01,64.03,58.22,58.44,"163,786,265"
10/6/2022,67.82,70.29,67.66,67.85,"98,325,917"
10/5/2022,66.59,68.69,64.52,67.94,"87,127,384"
10/4/2022,68.27,69.18,67.33,67.9,"77,160,479"
10/3/2022,64.46,66.91,63.39,66.11,"83,841,632"
9/30/2022,63.62,65.91,63.34,63.36,"81,664,125"
9/29/2022,67.15,67.2,62.83,64.14,"102,552,389"
9/28/2022,67.11,68.8,66.56,68.36,"72,389,462"
9/27/2022,67.9,68.78,66,67.17,"94,871,793"
9/26/2022,67.87,68.74,66.25,66.3,"82,898,693"
9/23/2022,68,69.08,66.82,67.96,"87,689,951"
9/22/2022,73.89,74.29,69.17,69.5,"101,436,851"
9/21/2022,75.44,78.41,74.45,74.48,"82,069,703"
9/20/2022,76.08,76.58,74.73,75.25,"51,129,084"
9/19/2022,75.39,77.34,75.35,76.77,"64,966,909"
9/16/2022,75.62,76.82,74.68,76.51,"75,300,178"
9/15/2022,76.64,77.97,74.91,76.66,"81,817,966"
9/14/2022,77.1,78.08,75.87,77.45,"71,482,997"
9/13/2022,80.96,81.47,76.8,77.03,"80,921,218"
9/12/2022,84.89,85.35,83.46,84.64,"71,922,542"
9/9/2022,84.03,85.68,83.84,85.45,"68,936,919"
9/8/2022,80.03,83.45,79.24,82.78,"89,089,304"
9/7/2022,79.24,80.25,77.74,79.61,"67,891,169"
9/6/2022,80.41,80.89,78.37,78.72,"68,727,299"
9/2/2022,83.32,83.65,79.81,80.24,"84,924,445"
9/1/2022,82.35,82.76,78.52,82.33,"94,854,710"
8/31/2022,86.28,86.72,83.72,84.87,"64,991,720"
8/30/2022,90.06,90.15,85.34,86.94,"69,087,118"
8/29/2022,90.05,91.19,88.26,88.49,"61,142,538"
8/26/2022,96.29,97.6,91.12,91.18,"65,552,540"
8/25/2022,93.14,97.57,93.14,97.18,"61,016,201"
8/24/2022,92.21,93.38,90.9,92.73,"56,520,431"
8/23/2022,92.39,94.44,92.11,92.49,"52,590,673"
8/22/2022,94.4,95.02,92.36,92.84,"61,837,284"
8/19/2022,98.67,99.25,94.59,95.95,"67,221,693"
8/18/2022,97.74,101.07,96.73,100.44,"76,059,523"
8/17/2022,99.26,99.64,96.73,98.27,"63,735,583"
8/16/2022,100.84,101.45,98.32,100.2,"60,220,671"
8/15/2022,100.51,101.85,99.8,101.01,"61,327,142"
8/12/2022,99.2,101.4,98.48,100.83,"72,316,345"
8/11/2022,99.93,102.37,98,98.12,"77,516,860"
8/10/2022,98.45,99.35,95.61,99.05,"83,416,119"
8/9/2022,97.95,98.05,93.67,95.54,"89,473,663"
8/8/2022,100.06,101.8,97.99,100.07,"92,692,592"
8/5/2022,101.05,103.86,100.98,102.31,"93,859,876"
8/4/2022,97.5,104.59,97.26,103.91,"125,855,773"
8/3/2022,94.83,98.77,93.62,98.09,"131,142,046"
8/2/2022,95.71,100.92,95.36,99.29,"116,734,097"
8/1/2022,95.59,98.39,93.96,96.78,"96,477,499"
7/29/2022,90.7,94.81,90.56,94.47,"76,630,707"
7/28/2022,90.42,92.22,88.59,91.67,"79,009,185"
7/27/2022,86.94,90.62,86.29,89.82,"78,301,564"
7/26/2022,87,87.75,84.71,85.25,"69,180,367"
7/25/2022,86.57,87.6,85.12,87.54,"70,083,006"
7/22/2022,90.2,90.69,87.04,88.1,"76,989,702"
7/21/2022,89.6,91.58,88.22,91.09,"90,449,338"
7/20/2022,85.39,89.92,85.08,89.43,"88,348,558"
7/19/2022,82.76,86.41,82.19,85.88,"85,047,506"
7/18/2022,82.21,84.47,80.94,81.43,"90,464,334"
7/15/2022,79.36,81.2,77.9,81.11,"76,050,597"
7/14/2022,78.23,79.25,76,78.6,"83,493,646"
7/13/2022,74.94,79.11,74.48,77.52,"79,354,976"
7/12/2022,76.98,77.44,74.43,76.36,"77,873,214"
7/11/2022,77.85,78.29,75.84,76.95,"76,247,536"
7/8/2022,78.31,80.47,77.4,79.35,"83,405,931"
7/7/2022,77.2,79.99,76.9,79.3,"83,640,945"
7/6/2022,75.17,76.28,73.55,75.35,"85,458,857"
7/5/2022,71.98,75.21,71.6,75.2,"95,685,751"
7/1/2022,75.19,75.45,72.69,73.67,"87,734,237"
6/30/2022,77.73,78.91,75.48,76.47,"105,368,616"
6/29/2022,79.55,79.75,76.51,77.99,"104,140,895"
6/28/2022,85.71,86.73,80.43,80.78,"95,752,533"
6/27/2022,87.36,88.22,85.25,86.16,"74,663,487"
6/24/2022,83.56,87.53,83.08,87.08,"88,553,886"
6/23/2022,84.32,84.41,80.23,82.43,"100,614,559"
6/22/2022,84.4,86.38,83.3,83.75,"86,634,716"
6/21/2022,84.17,85.81,82.6,83.79,"87,780,567"
6/17/2022,82.19,82.94,79.43,81.57,"105,212,293"
6/16/2022,86.63,86.73,80.64,82.05,"102,433,342"
6/15/2022,87.9,90.86,86.19,89.3,"95,774,807"
6/14/2022,87.41,88.3,85.82,86.99,"84,066,567"
6/13/2022,91.26,92.03,86.64,86.99,"98,148,812"
6/10/2022,98.82,99.93,94.25,94.82,"102,212,244"
6/9/2022,101.57,103.94,98.74,98.8,"95,298,975"
6/8/2022,104.57,105.85,100.41,101.9,"97,641,865"
6/7/2022,104.24,106.24,102.61,105.28,"79,022,851"
6/6/2022,108.27,109.57,104.23,105.65,"96,726,891"
6/3/2022,105.8,109.39,104.65,106.3,"110,844,697"
6/2/2022,100.78,109.5,100.78,108.59,"120,953,796"
6/1/2022,102.13,103.57,99.55,101.22,"99,351,389"
5/31/2022,102.43,104.55,100.04,101.86,"125,102,894"
5/27/2022,100.14,102.4,99.38,102.26,"104,348,440"
5/26/2022,91.34,100.33,90.74,98.75,"128,792,745"
5/25/2022,90.43,93.89,89.52,92.65,"111,771,116"
5/24/2022,92.54,93.42,89.62,91.16,"123,341,410"
5/23/2022,91.66,95.19,90.92,95.07,"128,773,040"
5/20/2022,98.39,98.64,88.26,93.5,"164,126,807"
5/19/2022,96.69,100.69,95.09,96.67,"141,506,169"
5/18/2022,100,104.22,95.71,96.28,"142,603,246"
5/17/2022,97.88,103.2,97.54,102.47,"164,227,181"
5/16/2022,93.86,98.17,93.08,94.24,"131,065,665"
5/13/2022,88.3,96.57,88.22,95.12,"138,068,073"
5/12/2022,86.6,88.55,83.27,87.06,"129,214,223"
5/11/2022,87.84,93.46,86.53,87.92,"136,137,858"
5/10/2022,89.18,90.77,85.41,88.73,"137,235,451"
5/9/2022,92.87,93.74,85.38,86.36,"144,523,668"
5/6/2022,94.34,98.18,92.65,95.34,"144,286,560"
5/5/2022,97.65,97.84,92.17,93.87,"153,129,770"
5/4/2022,98.18,99.69,91.7,99.42,"225,394,075"
5/3/2022,89.85,92.21,89.01,91.13,"126,381,846"
5/2/2022,85.66,90.37,85.32,89.84,"98,304,091"
4/29/2022,88.05,91.79,85.38,85.52,"82,647,701"
4/28/2022,86.67,90.58,84.78,89.64,"91,495,449"
4/27/2022,84.25,87.9,84.02,84.91,"83,125,054"
4/26/2022,89.74,90.12,85.08,85.16,"89,127,399"
4/25/2022,89.86,91.37,88.61,90.69,"93,481,042"
4/22/2022,90.03,91.46,87.94,88.14,"75,017,652"
4/21/2022,95.16,96.23,89.24,89.85,"76,680,635"
4/20/2022,97.84,97.91,93.2,94.02,"62,489,047"
4/19/2022,93.39,97.07,92.84,96.93,"77,069,496"
4/18/2022,92.03,95.16,91.64,93.89,"80,605,752"
4/14/2022,98.37,98.39,92.92,93.06,"73,354,367"
4/13/2022,95.3,98.33,94.71,97.74,"77,728,418"
4/12/2022,98.78,99.59,94.6,95.1,"89,246,449"
4/11/2022,98.6,98.67,95.94,97.37,"95,527,655"
4/8/2022,102.51,102.99,100.42,101,"92,746,663"
4/7/2022,103.92,105.24,100.91,103.72,"91,895,526"
4/6/2022,104.45,105.74,101.71,103.67,"105,256,602"
4/5/2022,109.69,110.48,106.05,106.82,"79,531,959"
4/4/2022,109.97,110.94,107.03,110.53,"90,220,034"
4/1/2022,110.48,111.42,106.1,108.19,"111,867,074"
3/31/2022,116.31,116.38,109.02,109.34,"147,004,790"
3/30/2022,123.04,125.67,118.59,119.22,"99,476,946"
3/29/2022,122.28,123.71,119.59,123.23,"94,143,028"
3/28/2022,117.7,120.41,116.71,120.24,"92,966,149"
3/25/2022,119.92,121.4,117.25,119.67,"95,852,381"
3/24/2022,114.96,120.55,113.71,120.53,"121,961,329"
3/23/2022,114.29,117.55,112.21,113.92,"90,579,150"
3/22/2022,115.43,117.95,113.81,114.78,"101,672,560"
3/21/2022,113.73,117.57,112.54,115.92,"101,905,850"
3/18/2022,111.28,114.93,110.55,113.46,"105,834,793"
3/17/2022,112.14,114.27,109.71,111.69,"103,201,695"
3/16/2022,111.6,115.42,109.89,115.37,"113,689,804"
3/15/2022,102.66,109.69,101.79,109.33,"112,425,543"
3/14/2022,102.99,105.24,101.04,102.25,"89,731,676"
3/11/2022,108.13,108.19,104.08,104.29,"87,584,432"
3/10/2022,108.89,109.07,103.07,106.46,"102,557,375"
3/9/2022,108.41,111.71,106.85,111.05,"102,310,329"
3/8/2022,102.81,109.9,100.08,105.53,"135,348,316"
3/7/2022,108.53,109.53,102.82,102.95,"92,599,972"
3/4/2022,112,113,106.81,108.41,"100,671,339"
3/3/2022,118.13,118.26,111.05,111.98,"123,916,721"
3/2/2022,115.47,119.48,113.31,118.28,"118,354,509"
3/1/2022,122.33,122.43,112.8,113.83,"126,552,244"
2/28/2022,120.31,124.61,119.2,123.34,"124,666,142"
2/25/2022,117.16,121.23,116.04,121.06,"127,820,983"
2/24/2022,104.56,116.96,104.26,116.61,"142,956,572"
2/23/2022,117.4,118.65,109.04,109.76,"120,299,433"
2/22/2022,115.27,119.2,113.61,115.65,"141,648,454"
2/18/2022,113.9,115.64,109.89,113.83,"114,321,231"
2/17/2022,116.26,116.98,112.26,112.37,"98,179,641"
2/16/2022,119.05,119.54,114.22,117.69,"119,109,631"
2/15/2022,117.19,121.88,114.36,121.47,"144,139,671"
2/14/2022,115.51,118.37,113.46,114.27,"135,146,410"
2/11/2022,126.14,127.17,111.81,113.18,"164,723,241"
2/10/2022,128.84,131.76,124.61,125.77,"108,939,859"
2/9/2022,129.6,132.96,127.65,132.85,"92,948,862"
2/8/2022,122.38,128.71,122.05,128.23,"84,902,753"
2/7/2022,123.56,127.63,122.79,123.67,"81,672,504"
2/4/2022,120.34,124.96,118.58,123.6,"86,212,008"
2/3/2022,120.32,125.37,118.82,120.08,"103,599,467"
2/2/2022,129.89,130.06,120.64,122.76,"180,064,993"
2/1/2022,116.75,117.26,112.73,116.78,"122,467,874"
1/31/2022,107.93,114.31,106.9,114.25,"97,205,994"
1/28/2022,101.55,105.4,99.35,105.24,"98,749,521"
1/27/2022,111.96,112.75,101.94,102.6,"125,954,124"
1/26/2022,114.55,117.16,108.63,110.71,"94,752,613"
1/25/2022,114.1,114.82,109.86,111.13,"85,102,907"
1/24/2022,115.4,116.77,107.5,116.53,"116,301,816"
1/21/2022,120.14,125.02,118.39,118.81,"95,685,268"
1/20/2022,126.04,128.51,121.41,121.89,"91,157,293"
1/19/2022,133.55,134.57,128.02,128.27,"69,831,849"
1/18/2022,134.5,136.39,131.59,131.93,"56,589,456"
1/14/2022,131.68,137,131.43,136.88,"71,078,438"
1/13/2022,139.44,141.25,131.81,132.74,"76,618,059"
1/12/2022,138.59,140.57,135.77,137.47,"69,669,598"
1/11/2022,133.45,138.99,131.59,137.31,"77,153,906"
1/10/2022,129.08,132.42,125.03,132,"84,671,336"
1/7/2022,136.28,137.44,131.13,132,"58,441,104"
1/6/2022,136.19,138,131.77,136.23,"64,802,937"
1/5/2022,142.82,143.76,135.29,136.15,"65,403,174"
1/4/2022,151.01,152.42,140.7,144.42,"80,200,455"
1/3/2022,145.14,151.65,145.02,150.24,"59,477,667"
12/31/2021,146.16,148.61,143.55,143.9,"49,448,144"
12/30/2021,147.44,148.85,144.85,145.15,"44,357,997"
12/29/2021,152.82,154.34,147.29,148.26,"51,300,205"
12/28/2021,155.88,156.73,151.38,153.15,"58,699,069"
12/27/2021,147.51,154.89,147.25,154.36,"53,296,375"
12/23/2021,143.89,149.02,143.85,146.14,"48,653,789"
12/22/2021,142.65,144.5,140.27,143.88,"46,923,682"
12/21/2021,138.19,144.5,135.15,144.25,"57,785,243"
12/20/2021,135.97,138.26,133.52,135.8,"38,195,396"
12/17/2021,136.3,142.04,136.11,137.75,"55,692,280"
12/16/2021,147,147.93,137.02,138.64,"63,369,550"
12/15/2021,135.11,146.69,133.81,146.5,"72,425,783"
12/14/2021,131.67,137.24,130.6,135.6,"50,754,642"
12/13/2021,138.25,139.4,133.42,133.8,"42,173,963"
12/10/2021,141.29,141.37,135.82,138.55,"42,224,275"
12/9/2021,145.16,146.69,137.8,138.1,"53,019,926"
12/8/2021,144.96,147.04,142.7,145.24,"40,977,478"
12/7/2021,143.9,145.76,141,144.85,"53,359,432"
12/6/2021,141.14,141.31,134.2,139.06,"66,776,493"
12/3/2021,151.65,152.38,140.72,144.01,"65,910,028"
12/2/2021,147.68,152.53,146.47,150.68,"56,161,216"
12/1/2021,160.37,160.88,148.92,149.11,"64,185,119"
11/30/2021,163.28,164.46,155.68,158.37,"75,182,545"
11/29/2021,157.5,162.51,156.1,161.91,"57,438,867"
11/26/2021,155.8,158.1,152.81,154.81,"36,245,068"
11/24/2021,149.46,157.93,147.19,157.8,"60,677,062"
11/23/2021,150.41,152.66,145.3,149.92,"62,852,705"
11/22/2021,157.14,161.88,152.39,152.52,"58,674,078"
11/19/2021,155.76,156.92,153.45,155.41,"41,668,862"
11/18/2021,157.07,158.89,152.56,155.02,"60,612,733"
11/17/2021,151.98,154.66,149.69,151.34,"54,527,482"
11/16/2021,145.93,153.08,145.34,152.45,"53,100,810"
11/15/2021,148,148.98,142.86,146.49,"52,271,271"
11/12/2021,146.03,148.59,144.25,147.89,"52,162,136"
