,META (NASD),,,,
Date,Open,High,Low,Close,Volume
10/6/2021,329.74,334.38,325.8,333.64,"26,443,010"
10/5/2021,328.58,335.18,326.16,332.96,"35,377,947"
10/4/2021,335.53,335.94,322.7,326.23,"42,884,975"
10/1/2021,341.61,345.02,338.64,343.01,"14,905,311"
9/30/2021,340.45,342.8,338.15,339.39,"16,547,094"
9/29/2021,343.15,345.23,338.88,339.61,"14,452,241"
9/28/2021,347.97,349.6,338.92,340.65,"21,710,286"
9/27/2021,349.81,355.15,347.08,353.58,"15,205,843"
9/24/2021,343.24,354.35,342.37,352.96,"18,801,933"
9/23/2021,345.36,349.67,343,345.96,"21,806,264"
9/22/2021,347.23,349.84,340.69,343.21,"43,692,859"
9/21/2021,358.5,360.04,355.19,357.48,"11,751,917"
9/20/2021,359.3,361.03,349.8,355.7,"19,822,772"
9/17/2021,371.41,371.41,361.59,364.72,"26,298,966"
9/16/2021,372.79,373.56,369.71,373.06,"11,934,217"
9/15/2021,377,377.56,367.67,373.92,"17,940,297"
9/14/2021,377.4,378.59,375.11,376.53,"8,711,569"
9/13/2021,381.68,381.75,374.35,376.51,"13,026,275"
9/10/2021,381.36,383.79,378.26,378.69,"11,549,595"
9/9/2021,377.64,379.83,376.57,378,"9,098,941"
9/8/2021,380.16,380.87,374.79,377.57,"11,067,166"
9/7/2021,375.88,382.96,373.15,382.18,"10,798,920"
9/3/2021,374.75,377.16,373.11,376.26,"7,511,356"
9/2/2021,381.5,381.75,374.06,375.28,"14,838,274"
9/1/2021,379.59,384.33,378.81,382.05,"11,567,163"
8/31/2021,379.95,382.76,378.8,379.38,"12,345,350"
8/30/2021,372.56,381.49,370.52,380.66,"13,547,261"
8/27/2021,365.1,373.74,364.08,372.63,"11,219,142"
8/26/2021,368.38,369.44,364.13,364.38,"7,888,683"
8/25/2021,365.6,370.86,365.4,368.39,"9,684,519"
8/24/2021,363.66,367.96,361.84,365.51,"9,235,148"
8/23/2021,359.44,365.69,359.1,363.35,"10,942,007"
8/20/2021,354.6,359.99,353.31,359.37,"8,697,667"
8/19/2021,351.35,357.57,351,355.12,"12,004,535"
8/18/2021,356.25,359.86,355.15,355.45,"10,042,381"
8/17/2021,362.98,364.67,355.07,358.45,"12,328,737"
8/16/2021,362.52,366.95,357.38,366.56,"11,232,269"
8/13/2021,362.97,364.66,361.48,363.18,"7,195,724"
8/12/2021,358.45,363,357.11,362.65,"7,175,206"
8/11/2021,362.1,362.36,357.81,359.96,"8,400,332"
8/10/2021,361.83,364.1,359.04,361.13,"7,469,878"
8/9/2021,363.76,365.78,360.75,361.61,"7,798,872"
8/6/2021,361.4,365.15,361.4,363.51,"8,925,017"
8/5/2021,359.64,363.9,356.9,362.97,"10,247,207"
8/4/2021,352.42,360.48,351.51,358.92,"14,180,572"
8/3/2021,352.73,353.77,347.7,351.24,"12,406,054"
8/2/2021,358.1,359.4,350.74,351.95,"13,180,439"
7/30/2021,354,360.73,352.94,356.3,"15,976,179"
7/29/2021,361,365.52,356.74,358.32,"33,413,244"
7/28/2021,374.56,377.55,366.93,373.28,"29,676,910"
7/27/2021,371.91,373.15,364.55,367.81,"15,705,447"
7/26/2021,369.58,374.44,368.22,372.46,"14,925,222"
7/23/2021,360.91,375.33,357.19,369.79,"33,694,328"
7/22/2021,346.68,351.54,345.21,351.19,"12,385,441"
7/21/2021,341.5,346.52,341.25,346.23,"9,279,657"
7/20/2021,338.8,343.45,334.5,341.66,"11,024,277"
7/19/2021,337.57,339.79,334.54,336.95,"14,372,345"
7/16/2021,344.91,345.99,340.14,341.16,"11,026,093"
7/15/2021,349.23,349.23,340.22,344.46,"14,781,594"
7/14/2021,354.56,355.2,346.73,347.63,"13,894,221"
7/13/2021,351.5,358.49,348.8,352.09,"11,455,963"
7/12/2021,351.23,354.19,349.64,353.16,"10,018,624"
7/9/2021,345.32,350.71,345.27,350.42,"13,018,694"
7/8/2021,345.73,348.33,342.56,345.65,"14,406,457"
7/7/2021,355.26,356.49,350,350.49,"14,218,866"
7/6/2021,356.5,358.79,349.18,352.78,"13,488,455"
7/2/2021,355.1,356.44,352.62,354.7,"11,524,614"
7/1/2021,346.82,354.67,346.5,354.39,"17,137,021"
6/30/2021,352.17,352.92,347.17,347.71,"15,107,514"
6/29/2021,356.27,356.74,349.05,351.89,"21,417,305"
6/28/2021,342.46,358.14,341.77,355.64,"29,156,132"
6/25/2021,342.59,344.12,339.68,341.37,"14,594,444"
6/24/2021,341.85,344.9,341.79,343.18,"12,329,096"
6/23/2021,339.35,343.42,338.2,340.59,"14,817,824"
6/22/2021,332.69,339.92,332.6,339.03,"15,345,299"
6/21/2021,331.09,332.92,327.65,332.29,"11,337,522"
6/18/2021,334.53,336.15,329,329.66,"23,039,457"
6/17/2021,330.49,337.98,330.15,336.51,"17,794,080"
6/16/2021,336.7,337.55,328.72,331.08,"17,232,157"
6/15/2021,336.99,339.92,335.03,336.75,"15,795,226"
6/14/2021,331.9,336.82,329.81,336.77,"12,250,799"
6/11/2021,332.58,332.83,328.93,331.26,"13,587,916"
6/10/2021,330.79,333.94,328.55,332.46,"13,240,229"
6/9/2021,335.74,336.8,330,330.25,"13,727,946"
6/8/2021,336.7,338.3,332.24,333.68,"14,580,464"
6/7/2021,329.48,337.69,328.93,336.58,"20,136,707"
6/4/2021,325.9,332.46,325.18,330.35,"13,289,383"
6/3/2021,325.78,327.38,323.48,326.04,"12,610,788"
6/2/2021,330.38,331.87,327.12,329.15,"11,654,275"
6/1/2021,330.15,331.42,326.64,329.13,"11,765,906"
5/28/2021,331,332.87,328.33,328.73,"12,037,430"
5/27/2021,328,333.78,326.76,332.75,"20,477,726"
5/26/2021,328.35,329.83,325.82,327.66,"9,686,917"
5/25/2021,327.08,329.18,324.8,327.79,"16,436,965"
5/24/2021,318.21,325.95,318.03,324.63,"16,445,356"
5/21/2021,319.29,319.93,315.81,316.23,"13,600,901"
5/20/2021,313.58,319.25,313.16,318.61,"17,320,241"
5/19/2021,304.19,314.66,303.57,313.59,"19,106,244"
5/18/2021,315.59,316.5,309.81,309.96,"14,522,403"
5/17/2021,313.55,315.68,311.58,315.46,"15,401,343"
5/14/2021,309.54,316.85,309.08,315.94,"19,245,724"
5/13/2021,306.08,308.86,302.77,305.26,"18,079,160"
5/12/2021,301.13,304.96,298.19,302.55,"24,641,010"
5/11/2021,300.75,306.84,299.69,306.53,"18,920,086"
5/10/2021,314.35,314.58,304.83,305.97,"24,239,170"
5/7/2021,322.38,322.94,318.75,319.08,"15,916,743"
5/6/2021,314.52,320.24,313.28,320.02,"19,012,241"
5/5/2021,318.19,321.06,314.49,315.02,"15,577,605"
5/4/2021,320.03,322.19,313.12,318.36,"24,032,557"
5/3/2021,326.17,328.55,321.84,322.58,"18,719,462"
4/30/2021,326.14,329.82,324.5,325.08,"26,332,423"
4/29/2021,330.12,331.81,321.61,329.51,"56,526,771"
4/28/2021,307.36,310.92,305.37,307.1,"33,907,210"
4/27/2021,304.28,305.34,301.11,303.57,"15,309,256"
4/26/2021,303.34,305.8,301.56,303.04,"16,172,593"
4/23/2021,298.76,302.59,297.15,301.13,"17,559,498"
4/22/2021,301.33,302.92,296.04,296.52,"16,375,350"
4/21/2021,301.95,301.98,297.39,301.47,"14,863,474"
4/20/2021,301.99,305.1,297.21,302.65,"16,796,442"
4/19/2021,305.01,307.7,300.56,302.24,"14,553,507"
4/16/2021,308.17,308.95,304.61,306.18,"13,059,163"
4/15/2021,306.34,310.14,304.1,307.82,"14,558,273"
4/14/2021,307.3,308.03,301.95,302.82,"17,421,393"
4/13/2021,312.21,314.43,309.32,309.76,"14,036,927"
4/12/2021,311.05,312.15,307.93,311.54,"10,881,935"
4/9/2021,311.4,314.74,310.33,312.46,"15,988,568"
4/8/2021,314.85,315.88,310.05,313.02,"20,894,148"
4/7/2021,306.34,314.25,305.5,313.09,"22,855,241"
4/6/2021,308.84,311.35,305.25,306.26,"17,335,246"
4/5/2021,300.89,310.77,300.68,308.91,"28,237,006"
4/1/2021,298.4,302.4,296.6,298.66,"17,615,980"
3/31/2021,289.99,296.5,288.61,294.53,"19,498,157"
3/30/2021,289.83,292.47,286.7,288,"17,474,537"
3/29/2021,285.77,293.18,284.7,290.82,"21,718,831"
3/26/2021,278.3,284.5,277.77,283.02,"17,629,185"
3/25/2021,280.98,288.06,277.75,278.74,"24,505,648"
3/24/2021,291,291.72,281.16,282.14,"18,675,046"
3/23/2021,293.15,298,289.81,290.63,"23,000,929"
3/22/2021,290.45,299.71,286.75,293.54,"28,273,073"
3/19/2021,281.22,292.8,281.2,290.11,"38,930,536"
3/18/2021,279.87,285.19,278.28,278.62,"18,754,853"
3/17/2021,275.71,286.23,275.41,284.01,"21,315,044"
3/16/2021,276.09,282.14,274.8,279.28,"22,437,665"
3/15/2021,269.08,275.96,268.5,273.75,"16,856,746"
3/12/2021,269.14,269.74,264.02,268.4,"20,600,198"
3/11/2021,268.11,277.9,267.82,273.88,"21,833,979"
3/10/2021,268.64,268.97,262.87,264.9,"14,210,318"
3/9/2021,261.18,268.53,259.81,265.74,"22,039,740"
3/8/2021,265.55,265.58,255.05,255.31,"18,391,768"
3/5/2021,260.67,265.45,255.61,264.28,"26,820,055"
3/4/2021,256.47,266.49,253.5,257.64,"31,626,463"
3/3/2021,260.29,260.99,255.1,255.41,"15,513,515"
3/2/2021,265.78,266.71,258.65,259,"15,191,722"
3/1/2021,260.82,266.65,257.9,264.91,"22,157,255"
2/26/2021,256.47,265.55,256.47,257.62,"26,619,517"
2/25/2021,262.3,266.94,254.04,254.69,"19,053,142"
2/24/2021,262.33,266.38,258.39,264.31,"15,736,123"
2/23/2021,259.5,267.46,254.96,265.86,"21,924,557"
2/22/2021,257.95,263.07,257.53,260.33,"17,434,873"
2/19/2021,269.86,270.27,260.15,261.56,"25,622,587"
2/18/2021,269.57,271.95,266.03,269.39,"15,249,134"
2/17/2021,271.24,273.97,269.58,273.57,"12,763,240"
2/16/2021,270.8,276.6,270.05,273.97,"15,417,243"
2/12/2021,270.52,271.18,268.34,270.5,"9,097,597"
2/11/2021,271.89,273.58,268.49,270.39,"12,828,572"
2/10/2021,272.45,273.8,267.72,271.87,"14,687,152"
2/9/2021,266.44,273.39,265.75,269.45,"14,613,375"
2/8/2021,268.75,269.86,265,266.58,"13,755,191"
2/5/2021,266.8,269.17,265.67,268.1,"12,454,367"
2/4/2021,267.01,268.16,264,266.49,"16,059,958"
2/3/2021,265.62,269.2,263.84,266.65,"14,223,377"
2/2/2021,264,268.85,263.27,267.08,"17,320,788"
2/1/2021,259.52,264.17,254.91,262.01,"22,914,255"
1/29/2021,265.3,266.56,254.85,258.33,"30,389,499"
1/28/2021,277.18,286.79,264.7,265,"37,758,844"
1/27/2021,282.53,283.45,268.12,272.14,"35,346,194"
1/26/2021,278.14,285.39,277.81,282.05,"19,373,636"
1/25/2021,278.14,280.1,271.51,278.01,"19,086,990"
1/22/2021,272.01,278.47,272,274.5,"21,954,042"
1/21/2021,269.26,273.6,267.49,272.87,"20,838,687"
1/20/2021,268.93,270.32,263.6,267.48,"25,199,919"
1/19/2021,256.9,262.2,252.72,261.1,"28,028,546"
1/15/2021,247.9,253.86,247.16,251.36,"24,942,930"
1/14/2021,253.4,255.03,244.61,245.64,"29,739,404"
1/13/2021,251.55,253.95,249.2,251.64,"19,528,938"
1/12/2021,256.63,259.72,250.3,251.09,"26,449,943"
1/11/2021,260.48,263.47,255.9,256.84,"30,412,286"
1/8/2021,268.31,268.95,263.18,267.57,"18,528,251"
1/7/2021,265.9,271.61,264.78,268.74,"15,789,756"
1/6/2021,262,267.75,260.01,263.31,"24,354,149"
1/5/2021,268.29,272.4,268.21,270.97,"9,871,557"
1/4/2021,274.78,275,265.2,268.94,"15,106,113"
12/31/2020,272,277.09,269.81,273.16,"12,900,408"
12/30/2020,277.95,278.08,271.71,271.87,"11,803,795"
12/29/2020,276.95,280.51,276.28,276.78,"16,382,995"
12/28/2020,268.74,277.3,265.66,277,"23,299,707"
